Freq[Hz]     dBSPL  Phase[Deg]
5.00000      0.697    -0.094
5.07273      0.697    -0.096
5.14651      0.697    -0.097
5.22137      0.697    -0.098
5.29732      0.697    -0.100
5.37437      0.697    -0.101
5.45254      0.698    -0.103
5.53185      0.698    -0.104
5.61231      0.698    -0.106
5.69394      0.698    -0.107
5.77676      0.698    -0.109
5.86079      0.698    -0.110
5.94604      0.698    -0.112
6.03252      0.698    -0.113
6.12027      0.698    -0.115
6.20929      0.698    -0.117
6.29961      0.698    -0.118
6.39124      0.698    -0.120
6.48420      0.698    -0.122
6.57851      0.698    -0.123
6.67420      0.698    -0.125
6.77128      0.698    -0.127
6.86977      0.698    -0.129
6.96969      0.698    -0.131
7.07107      0.698    -0.132
7.17392      0.698    -0.134
7.27827      0.698    -0.136
7.38413      0.699    -0.138
7.49154      0.699    -0.140
7.60050      0.699    -0.142
7.71105      0.699    -0.144
7.82321      0.699    -0.146
7.93701      0.699    -0.149
8.05245      0.699    -0.151
8.16958      0.699    -0.153
8.28841      0.699    -0.155
8.40896      0.699    -0.157
8.53128      0.699    -0.160
8.65537      0.699    -0.162
8.78126      0.699    -0.164
8.90899      0.700    -0.167
9.03857      0.700    -0.169
9.17004      0.700    -0.171
9.30342      0.700    -0.174
9.43874      0.700    -0.176
9.57603      0.700    -0.179
9.71532      0.700    -0.182
9.85663      0.700    -0.184
10.0000      0.700    -0.187
10.1455      0.701    -0.190
10.2930      0.701    -0.192
10.4427      0.701    -0.195
10.5946      0.701    -0.198
10.7487      0.701    -0.201
10.9051      0.701    -0.204
11.0637      0.701    -0.207
11.2246      0.702    -0.210
11.3879      0.702    -0.213
11.5535      0.702    -0.216
11.7216      0.702    -0.219
11.8921      0.702    -0.222
12.0650      0.702    -0.225
12.2405      0.703    -0.229
12.4186      0.703    -0.232
12.5992      0.703    -0.235
12.7825      0.703    -0.239
12.9684      0.703    -0.242
13.1570      0.703    -0.246
13.3484      0.704    -0.250
13.5426      0.704    -0.253
13.7395      0.704    -0.257
13.9394      0.704    -0.261
14.1421      0.705    -0.265
14.3478      0.705    -0.268
14.5565      0.705    -0.272
14.7683      0.705    -0.276
14.9831      0.706    -0.280
15.2010      0.706    -0.285
15.4221      0.706    -0.290
15.6464      0.706    -0.294
15.8740      0.707    -0.299
16.1049      0.707    -0.304
16.3392      0.707    -0.309
16.5768      0.708    -0.314
16.8179      0.708    -0.319
17.0626      0.708    -0.324
17.3107      0.709    -0.329
17.5625      0.709    -0.334
17.8180      0.709    -0.340
18.0771      0.710    -0.345
18.3401      0.710    -0.351
18.6068      0.711    -0.356
18.8775      0.711    -0.362
19.1521      0.712    -0.368
19.4306      0.712    -0.374
19.7133      0.712    -0.380
20.0000      0.713    -0.386
20.2909      0.713    -0.392
20.5860      0.714    -0.398
20.8855      0.714    -0.405
21.1893      0.715    -0.411
21.4975      0.715    -0.418
21.8102      0.716    -0.424
22.1274      0.717    -0.431
22.4492      0.717    -0.438
22.7758      0.718    -0.445
23.1071      0.718    -0.452
23.4432      0.719    -0.460
23.7841      0.720    -0.467
24.1301      0.720    -0.475
24.4811      0.721    -0.482
24.8372      0.722    -0.490
25.1984      0.723    -0.498
25.5649      0.723    -0.506
25.9368      0.724    -0.514
26.3141      0.725    -0.523
26.6968      0.726    -0.531
27.0851      0.727    -0.540
27.4791      0.727    -0.549
27.8788      0.728    -0.558
28.2843      0.729    -0.567
28.6957      0.730    -0.576
29.1131      0.731    -0.585
29.5365      0.732    -0.595
29.9661      0.733    -0.605
30.4020      0.734    -0.615
30.8442      0.735    -0.625
31.2929      0.737    -0.635
31.7480      0.738    -0.646
32.2098      0.739    -0.656
32.6783      0.740    -0.667
33.1536      0.741    -0.678
33.6359      0.743    -0.690
34.1251      0.744    -0.701
34.6215      0.745    -0.713
35.1250      0.747    -0.725
35.6359      0.748    -0.737
36.1543      0.750    -0.749
36.6802      0.751    -0.762
37.2137      0.753    -0.775
37.7550      0.755    -0.788
38.3041      0.756    -0.801
38.8613      0.758    -0.815
39.4265      0.760    -0.829
40.0000      0.762    -0.843
40.5818      0.763    -0.858
41.1721      0.765    -0.873
41.7710      0.767    -0.888
42.3785      0.769    -0.903
42.9949      0.772    -0.919
43.6203      0.774    -0.935
44.2548      0.776    -0.951
44.8985      0.778    -0.968
45.5515      0.780    -0.985
46.2141      0.783    -1.002
46.8863      0.785    -1.020
47.5683      0.788    -1.039
48.2602      0.791    -1.057
48.9621      0.793    -1.076
49.6743      0.796    -1.096
50.3968      0.799    -1.115
51.1299      0.802    -1.136
51.8736      0.805    -1.156
52.6281      0.808    -1.178
53.3936      0.811    -1.199
54.1702      0.814    -1.221
54.9581      0.817    -1.244
55.7575      0.821    -1.267
56.5685      0.824    -1.291
57.3914      0.828    -1.315
58.2261      0.832    -1.340
59.0730      0.835    -1.366
59.9323      0.839    -1.392
60.8040      0.843    -1.419
61.6884      0.847    -1.446
62.5857      0.852    -1.474
63.4960      0.856    -1.502
64.4196      0.860    -1.532
65.3566      0.865    -1.562
66.3073      0.870    -1.593
67.2717      0.874    -1.625
68.2502      0.879    -1.657
69.2429      0.884    -1.690
70.2501      0.890    -1.724
71.2719      0.895    -1.759
72.3086      0.900    -1.795
73.3603      0.906    -1.832
74.4274      0.912    -1.870
75.5099      0.918    -1.909
76.6083      0.924    -1.949
77.7226      0.930    -1.989
78.8531      0.936    -2.031
80.0000      0.943    -2.074
81.1636      0.949    -2.119
82.3442      0.956    -2.164
83.5419      0.963    -2.211
84.7570      0.970    -2.259
85.9899      0.978    -2.308
87.2406      0.985    -2.359
88.5096      0.993    -2.411
89.7970      1.001    -2.464
