Freq[Hz]     dBSPL  Phase[Deg]
5.00000      0.753    -0.070
5.07273      0.753    -0.071
5.14651      0.753    -0.072
5.22137      0.753    -0.073
5.29732      0.753    -0.074
5.37437      0.753    -0.075
5.45254      0.753    -0.076
5.53185      0.753    -0.077
5.61231      0.753    -0.078
5.69394      0.753    -0.079
5.77676      0.753    -0.081
5.86079      0.753    -0.082
5.94604      0.753    -0.083
6.03252      0.753    -0.084
6.12027      0.753    -0.085
6.20929      0.753    -0.086
6.29961      0.753    -0.088
6.39124      0.754    -0.089
6.48420      0.754    -0.090
6.57851      0.754    -0.091
6.67420      0.754    -0.093
6.77128      0.754    -0.094
6.86977      0.754    -0.095
6.96969      0.754    -0.097
7.07107      0.754    -0.098
7.17392      0.754    -0.100
7.27827      0.754    -0.101
7.38413      0.754    -0.103
7.49154      0.754    -0.104
7.60050      0.754    -0.105
7.71105      0.755    -0.107
7.82321      0.755    -0.109
7.93701      0.755    -0.110
8.05245      0.755    -0.112
8.16958      0.755    -0.113
8.28841      0.755    -0.115
8.40896      0.755    -0.117
8.53128      0.755    -0.118
8.65537      0.755    -0.120
8.78126      0.756    -0.122
8.90899      0.756    -0.124
9.03857      0.756    -0.125
9.17004      0.756    -0.127
9.30342      0.756    -0.129
9.43874      0.756    -0.131
9.57603      0.756    -0.133
9.71532      0.756    -0.135
9.85663      0.757    -0.137
10.0000      0.757    -0.139
10.1455      0.757    -0.141
10.2930      0.757    -0.143
10.4427      0.757    -0.145
10.5946      0.757    -0.147
10.7487      0.758    -0.149
10.9051      0.758    -0.151
11.0637      0.758    -0.154
11.2246      0.758    -0.156
11.3879      0.758    -0.158
11.5535      0.759    -0.161
11.7216      0.759    -0.163
11.8921      0.759    -0.165
12.0650      0.759    -0.168
12.2405      0.759    -0.170
12.4186      0.760    -0.173
12.5992      0.760    -0.175
12.7825      0.760    -0.178
12.9684      0.760    -0.181
13.1570      0.761    -0.183
13.3484      0.761    -0.186
13.5426      0.761    -0.189
13.7395      0.762    -0.192
13.9394      0.762    -0.195
14.1421      0.762    -0.198
14.3478      0.762    -0.201
14.5565      0.763    -0.204
14.7683      0.763    -0.207
14.9831      0.763    -0.210
15.2010      0.764    -0.213
15.4221      0.764    -0.217
15.6464      0.765    -0.221
15.8740      0.765    -0.225
16.1049      0.765    -0.228
16.3392      0.766    -0.232
16.5768      0.766    -0.236
16.8179      0.767    -0.240
17.0626      0.767    -0.244
17.3107      0.767    -0.249
17.5625      0.768    -0.253
17.8180      0.768    -0.257
18.0771      0.769    -0.262
18.3401      0.769    -0.266
18.6068      0.770    -0.271
18.8775      0.770    -0.275
19.1521      0.771    -0.280
19.4306      0.772    -0.285
19.7133      0.772    -0.290
20.0000      0.773    -0.295
20.2909      0.773    -0.300
20.5860      0.774    -0.305
20.8855      0.775    -0.310
21.1893      0.775    -0.315
21.4975      0.776    -0.321
21.8102      0.777    -0.326
22.1274      0.777    -0.332
22.4492      0.778    -0.338
22.7758      0.779    -0.344
23.1071      0.780    -0.350
23.4432      0.781    -0.356
23.7841      0.781    -0.362
24.1301      0.782    -0.368
24.4811      0.783    -0.375
24.8372      0.784    -0.382
25.1984      0.785    -0.388
25.5649      0.786    -0.395
25.9368      0.787    -0.402
26.3141      0.788    -0.409
26.6968      0.789    -0.416
27.0851      0.790    -0.424
27.4791      0.791    -0.432
27.8788      0.793    -0.439
28.2843      0.794    -0.447
28.6957      0.795    -0.455
29.1131      0.796    -0.463
29.5365      0.797    -0.472
29.9661      0.799    -0.480
30.4020      0.800    -0.489
30.8442      0.802    -0.498
31.2929      0.803    -0.507
31.7480      0.804    -0.517
32.2098      0.806    -0.526
32.6783      0.808    -0.536
33.1536      0.809    -0.546
33.6359      0.811    -0.556
34.1251      0.812    -0.567
34.6215      0.814    -0.577
35.1250      0.816    -0.588
35.6359      0.818    -0.599
36.1543      0.820    -0.611
36.6802      0.822    -0.623
37.2137      0.824    -0.635
37.7550      0.826    -0.647
38.3041      0.828    -0.659
38.8613      0.830    -0.672
39.4265      0.832    -0.685
40.0000      0.834    -0.699
40.5818      0.837    -0.713
41.1721      0.839    -0.727
41.7710      0.842    -0.741
42.3785      0.844    -0.756
42.9949      0.847    -0.772
43.6203      0.849    -0.787
44.2548      0.852    -0.803
44.8985      0.855    -0.820
45.5515      0.858    -0.837
46.2141      0.861    -0.854
46.8863      0.864    -0.872
47.5683      0.867    -0.890
48.2602      0.870    -0.909
48.9621      0.874    -0.928
49.6743      0.877    -0.948
50.3968      0.880    -0.968
51.1299      0.884    -0.989
51.8736      0.888    -1.010
52.6281      0.891    -1.032
53.3936      0.895    -1.055
54.1702      0.899    -1.078
54.9581      0.903    -1.102
55.7575      0.907    -1.126
56.5685      0.911    -1.151
57.3914      0.916    -1.177
58.2261      0.920    -1.204
59.0730      0.925    -1.231
59.9323      0.930    -1.260
60.8040      0.934    -1.289
61.6884      0.939    -1.318
62.5857      0.944    -1.349
63.4960      0.949    -1.381
64.4196      0.955    -1.413
65.3566      0.960    -1.447
66.3073      0.966    -1.481
67.2717      0.971    -1.517
68.2502      0.977    -1.553
69.2429      0.983    -1.591
70.2501      0.989    -1.630
71.2719      0.995    -1.669
72.3086      1.001    -1.711
73.3603      1.008    -1.753
74.4274      1.014    -1.797
75.5099      1.021    -1.842
76.6083      1.028    -1.888
77.7226      1.035    -1.935
78.8531      1.042    -1.985
80.0000      1.050    -2.035
81.1636      1.057    -2.087
82.3442      1.065    -2.141
83.5419      1.072    -2.197
84.7570      1.080    -2.254
85.9899      1.088    -2.312
87.2406      1.097    -2.373
88.5096      1.105    -2.436
89.7970      1.114    -2.500
91.1031      1.122    -2.566
92.4282      1.131    -2.635
93.7726      1.140    -2.705
95.1366      1.149    -2.778
96.5204      1.159    -2.853
97.9243      1.168    -2.930
99.3486      1.178    -3.009
100.794      1.188    -3.091
102.260      1.198    -3.176
103.747      1.208    -3.262
105.256      1.218    -3.352
106.787      1.228    -3.444
108.340      1.239    -3.539
109.916      1.250    -3.637
111.515      1.261    -3.737
113.137      1.271    -3.841
114.783      1.283    -3.948
116.452      1.294    -4.057
118.146      1.305    -4.170
119.865      1.317    -4.287
121.608      1.328    -4.407
123.377      1.340    -4.530
125.171      1.351    -4.656
126.992      1.363    -4.787
128.839      1.375    -4.920
130.713      1.387    -5.058
132.615      1.399    -5.200
134.543      1.411    -5.345
136.500      1.424    -5.495
138.486      1.436    -5.648
140.500      1.448    -5.806
142.544      1.460    -5.968
144.617      1.472    -6.134
146.721      1.485    -6.305
148.855      1.497    -6.479
151.020      1.509    -6.659
153.217      1.521    -6.843
155.445      1.533    -7.031
157.706      1.545    -7.225
160.000      1.557    -7.423
162.327      1.569    -7.626
164.688      1.580    -7.833
167.084      1.592    -8.046
169.514      1.603    -8.263
171.980      1.614    -8.486
174.481      1.625    -8.713
177.019      1.636    -8.945
179.594      1.646    -9.183
182.206      1.656    -9.425
184.856      1.666    -9.673
187.545      1.676    -9.925
190.273      1.685   -10.182
193.041      1.694   -10.445
195.849      1.703   -10.712
198.697      1.711   -10.985
201.587      1.719   -11.262
204.520      1.726   -11.543
207.494      1.733   -11.830
210.512      1.739   -12.122
213.574      1.745   -12.418
216.681      1.750   -12.718
219.833      1.755   -13.023
223.030      1.760   -13.332
226.274      1.763   -13.645
229.565      1.767   -13.962
232.905      1.769   -14.283
236.292      1.771   -14.607
239.729      1.772   -14.935
243.216      1.773   -15.266
246.754      1.773   -15.601
250.343      1.772   -15.938
253.984      1.771   -16.278
257.678      1.769   -16.620
261.426      1.767   -16.964
265.229      1.764   -17.310
269.087      1.760   -17.658
273.001      1.756   -18.007
276.972      1.751   -18.357
281.000      1.745   -18.708
285.088      1.739   -19.060
289.234      1.733   -19.412
293.441      1.726   -19.764
297.709      1.719   -20.116
302.040      1.711   -20.468
306.433      1.703   -20.819
310.890      1.695   -21.169
315.412      1.686   -21.519
320.000      1.678   -21.867
324.655      1.669   -22.215
329.377      1.661   -22.562
334.168      1.653   -22.907
339.028      1.645   -23.252
343.959      1.637   -23.596
