Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.377     0.330
5.07273      1.377     0.335
5.14651      1.378     0.340
5.22137      1.378     0.345
5.29732      1.378     0.350
5.37437      1.378     0.355
5.45254      1.378     0.361
5.53185      1.378     0.366
5.61231      1.378     0.371
5.69394      1.378     0.377
5.77676      1.378     0.382
5.86079      1.378     0.388
5.94604      1.378     0.393
6.03252      1.378     0.399
6.12027      1.378     0.405
6.20929      1.378     0.411
6.29961      1.378     0.417
6.39124      1.378     0.423
6.48420      1.379     0.429
6.57851      1.379     0.435
6.67420      1.379     0.442
6.77128      1.379     0.448
6.86977      1.379     0.455
6.96969      1.379     0.461
7.07107      1.379     0.468
7.17392      1.379     0.475
7.27827      1.379     0.482
7.38413      1.379     0.489
7.49154      1.380     0.496
7.60050      1.380     0.503
7.71105      1.380     0.511
7.82321      1.380     0.518
7.93701      1.380     0.526
8.05245      1.380     0.533
8.16958      1.380     0.541
8.28841      1.380     0.549
8.40896      1.381     0.557
8.53128      1.381     0.565
8.65537      1.381     0.574
8.78126      1.381     0.582
8.90899      1.381     0.590
9.03857      1.381     0.599
9.17004      1.381     0.608
9.30342      1.382     0.617
9.43874      1.382     0.626
9.57603      1.382     0.635
9.71532      1.382     0.644
9.85663      1.382     0.653
10.0000      1.383     0.663
10.1455      1.383     0.672
10.2930      1.383     0.682
10.4427      1.383     0.692
10.5946      1.383     0.702
10.7487      1.384     0.712
10.9051      1.384     0.723
11.0637      1.384     0.733
11.2246      1.384     0.744
11.3879      1.385     0.755
11.5535      1.385     0.766
11.7216      1.385     0.777
11.8921      1.385     0.788
12.0650      1.386     0.799
12.2405      1.386     0.811
12.4186      1.386     0.823
12.5992      1.387     0.835
12.7825      1.387     0.847
12.9684      1.387     0.859
13.1570      1.388     0.872
13.3484      1.388     0.884
13.5426      1.388     0.897
13.7395      1.389     0.910
13.9394      1.389     0.923
14.1421      1.389     0.936
14.3478      1.390     0.950
14.5565      1.390     0.964
14.7683      1.391     0.978
14.9831      1.391     0.992
15.2010      1.391     1.006
15.4221      1.392     1.020
15.6464      1.392     1.034
15.8740      1.393     1.048
16.1049      1.393     1.063
16.3392      1.394     1.078
16.5768      1.394     1.093
16.8179      1.395     1.108
17.0626      1.396     1.124
17.3107      1.396     1.139
17.5625      1.397     1.155
17.8180      1.397     1.172
18.0771      1.398     1.188
18.3401      1.399     1.204
18.6068      1.399     1.221
18.8775      1.400     1.238
19.1521      1.401     1.256
19.4306      1.401     1.273
19.7133      1.402     1.291
20.0000      1.403     1.309
20.2909      1.404     1.327
20.5860      1.404     1.346
20.8855      1.405     1.364
21.1893      1.406     1.384
21.4975      1.407     1.403
21.8102      1.408     1.422
22.1274      1.409     1.442
22.4492      1.410     1.462
22.7758      1.411     1.482
23.1071      1.412     1.503
23.4432      1.413     1.524
23.7841      1.414     1.545
24.1301      1.415     1.567
24.4811      1.416     1.588
24.8372      1.417     1.610
25.1984      1.419     1.633
25.5649      1.420     1.655
25.9368      1.421     1.678
26.3141      1.422     1.701
26.6968      1.424     1.725
27.0851      1.425     1.749
27.4791      1.427     1.773
27.8788      1.428     1.797
28.2843      1.430     1.822
28.6957      1.431     1.847
29.1131      1.433     1.872
29.5365      1.434     1.898
29.9661      1.436     1.924
30.4020      1.438     1.951
30.8442      1.440     1.977
31.2929      1.442     2.004
31.7480      1.443     2.031
32.2098      1.445     2.059
32.6783      1.447     2.087
33.1536      1.449     2.116
33.6359      1.452     2.144
34.1251      1.454     2.173
34.6215      1.456     2.203
35.1250      1.458     2.233
35.6359      1.461     2.263
36.1543      1.463     2.293
36.6802      1.466     2.324
37.2137      1.468     2.355
37.7550      1.471     2.387
38.3041      1.474     2.419
38.8613      1.476     2.451
39.4265      1.479     2.483
40.0000      1.482     2.516
40.5818      1.485     2.550
41.1721      1.489     2.583
41.7710      1.492     2.618
42.3785      1.495     2.652
42.9949      1.499     2.687
43.6203      1.502     2.722
44.2548      1.506     2.757
44.8985      1.509     2.793
45.5515      1.513     2.829
46.2141      1.517     2.866
46.8863      1.521     2.903
47.5683      1.525     2.940
48.2602      1.530     2.978
48.9621      1.534     3.016
49.6743      1.538     3.054
50.3968      1.543     3.093
51.1299      1.548     3.132
51.8736      1.553     3.171
52.6281      1.558     3.211
53.3936      1.563     3.251
54.1702      1.568     3.291
54.9581      1.574     3.331
55.7575      1.579     3.372
56.5685      1.585     3.414
57.3914      1.591     3.455
58.2261      1.597     3.497
59.0730      1.603     3.539
59.9323      1.609     3.581
60.8040      1.616     3.624
61.6884      1.623     3.666
62.5857      1.630     3.709
63.4960      1.637     3.753
64.4196      1.644     3.796
65.3566      1.651     3.840
66.3073      1.659     3.883
67.2717      1.667     3.927
68.2502      1.675     3.971
69.2429      1.683     4.015
70.2501      1.692     4.060
71.2719      1.701     4.104
72.3086      1.710     4.148
73.3603      1.719     4.193
74.4274      1.728     4.237
75.5099      1.738     4.282
76.6083      1.748     4.326
77.7226      1.758     4.371
78.8531      1.768     4.415
80.0000      1.779     4.459
81.1636      1.790     4.503
82.3442      1.801     4.547
83.5419      1.813     4.590
84.7570      1.825     4.634
85.9899      1.837     4.677
87.2406      1.849     4.720
88.5096      1.862     4.762
89.7970      1.875     4.804
91.1031      1.888     4.846
92.4282      1.902     4.887
93.7726      1.916     4.927
95.1366      1.930     4.967
96.5204      1.944     5.007
97.9243      1.959     5.046
99.3486      1.975     5.083
100.794      1.990     5.121
102.260      2.006     5.157
103.747      2.023     5.193
105.256      2.040     5.227
106.787      2.057     5.261
108.340      2.074     5.293
109.916      2.092     5.324
111.515      2.110     5.354
113.137      2.129     5.383
114.783      2.148     5.411
116.452      2.168     5.437
118.146      2.188     5.461
119.865      2.208     5.484
121.608      2.229     5.505
123.377      2.250     5.524
125.171      2.272     5.542
126.992      2.294     5.558
128.839      2.316     5.571
130.713      2.339     5.583
132.615      2.363     5.592
134.543      2.386     5.599
136.500      2.411     5.603
138.486      2.436     5.605
140.500      2.461     5.605
142.544      2.486     5.601
144.617      2.513     5.595
146.721      2.539     5.585
148.855      2.566     5.573
151.020      2.594     5.557
153.217      2.622     5.538
155.445      2.650     5.516
157.706      2.679     5.490
160.000      2.709     5.460
162.327      2.738     5.427
164.688      2.769     5.389
167.084      2.799     5.348
169.514      2.831     5.302
171.980      2.862     5.252
174.481      2.894     5.197
177.019      2.927     5.138
179.594      2.960     5.074
182.206      2.993     5.005
184.856      3.027     4.931
187.545      3.061     4.852
190.273      3.096     4.767
193.041      3.131     4.677
195.849      3.167     4.581
198.697      3.202     4.479
201.587      3.239     4.372
204.520      3.275     4.258
207.494      3.312     4.138
210.512      3.349     4.011
213.574      3.387     3.878
216.681      3.425     3.739
219.833      3.463     3.592
223.030      3.501     3.439
226.274      3.540     3.278
229.565      3.579     3.110
232.905      3.618     2.934
236.292      3.657     2.751
239.729      3.697     2.560
243.216      3.736     2.362
246.754      3.776     2.155
250.343      3.816     1.940
253.984      3.856     1.717
257.678      3.896     1.485
261.426      3.936     1.245
265.229      3.976     0.997
269.087      4.016     0.739
273.001      4.056     0.472
276.972      4.096     0.197
281.000      4.136    -0.088
285.088      4.176    -0.382
289.234      4.215    -0.685
293.441      4.255    -0.998
297.709      4.294    -1.320
302.040      4.333    -1.652
306.433      4.371    -1.993
310.890      4.409    -2.344
315.412      4.447    -2.705
320.000      4.485    -3.076
324.655      4.521    -3.457
329.377      4.558    -3.848
334.168      4.594    -4.248
339.028      4.629    -4.659
343.959      4.664    -5.079
348.962      4.698    -5.510
354.038      4.731    -5.950
359.188      4.764    -6.401
364.412      4.796    -6.861
369.713      4.827    -7.331
375.090      4.857    -7.811
380.546      4.886    -8.300
386.081      4.914    -8.800
391.697      4.941    -9.308
397.394      4.967    -9.826
403.175      4.992   -10.354
409.039      5.016   -10.890
414.989      5.039   -11.435
421.025      5.060   -11.989
427.149      5.081   -12.552
433.362      5.100   -13.122
439.665      5.117   -13.701
