Freq[Hz]     dBSPL  Phase[Deg]
5.00000      0.834    -0.026
5.07273      0.834    -0.026
5.14651      0.834    -0.026
5.22137      0.834    -0.027
5.29732      0.834    -0.027
5.37437      0.834    -0.028
5.45254      0.834    -0.028
5.53185      0.834    -0.028
5.61231      0.834    -0.029
5.69394      0.834    -0.029
5.77676      0.834    -0.029
5.86079      0.834    -0.030
5.94604      0.834    -0.030
6.03252      0.834    -0.031
6.12027      0.834    -0.031
6.20929      0.834    -0.031
6.29961      0.834    -0.032
6.39124      0.834    -0.032
6.48420      0.834    -0.033
6.57851      0.834    -0.033
6.67420      0.835    -0.034
6.77128      0.835    -0.034
6.86977      0.835    -0.035
6.96969      0.835    -0.035
7.07107      0.835    -0.036
7.17392      0.835    -0.036
7.27827      0.835    -0.037
7.38413      0.835    -0.037
7.49154      0.835    -0.038
7.60050      0.835    -0.038
7.71105      0.835    -0.039
7.82321      0.835    -0.039
7.93701      0.835    -0.040
8.05245      0.835    -0.040
8.16958      0.835    -0.041
8.28841      0.835    -0.041
8.40896      0.835    -0.042
8.53128      0.836    -0.042
8.65537      0.836    -0.043
8.78126      0.836    -0.044
8.90899      0.836    -0.044
9.03857      0.836    -0.045
9.17004      0.836    -0.046
9.30342      0.836    -0.046
9.43874      0.836    -0.047
9.57603      0.836    -0.047
9.71532      0.836    -0.048
9.85663      0.836    -0.049
10.0000      0.837    -0.050
10.1455      0.837    -0.050
10.2930      0.837    -0.051
10.4427      0.837    -0.052
10.5946      0.837    -0.052
10.7487      0.837    -0.053
10.9051      0.837    -0.054
11.0637      0.837    -0.055
11.2246      0.838    -0.055
11.3879      0.838    -0.056
11.5535      0.838    -0.057
11.7216      0.838    -0.058
11.8921      0.838    -0.059
12.0650      0.838    -0.060
12.2405      0.838    -0.060
12.4186      0.839    -0.061
12.5992      0.839    -0.062
12.7825      0.839    -0.063
12.9684      0.839    -0.064
13.1570      0.839    -0.065
13.3484      0.839    -0.066
13.5426      0.840    -0.067
13.7395      0.840    -0.068
13.9394      0.840    -0.069
14.1421      0.840    -0.070
14.3478      0.840    -0.071
14.5565      0.841    -0.072
14.7683      0.841    -0.073
14.9831      0.841    -0.074
15.2010      0.841    -0.076
15.4221      0.842    -0.077
15.6464      0.842    -0.079
15.8740      0.842    -0.080
16.1049      0.842    -0.082
16.3392      0.843    -0.084
16.5768      0.843    -0.085
16.8179      0.843    -0.087
17.0626      0.844    -0.089
17.3107      0.844    -0.091
17.5625      0.844    -0.092
17.8180      0.845    -0.094
18.0771      0.845    -0.096
18.3401      0.845    -0.098
18.6068      0.846    -0.100
18.8775      0.846    -0.102
19.1521      0.846    -0.104
19.4306      0.847    -0.106
19.7133      0.847    -0.108
20.0000      0.848    -0.110
20.2909      0.848    -0.112
20.5860      0.848    -0.114
20.8855      0.849    -0.117
21.1893      0.849    -0.119
21.4975      0.850    -0.121
21.8102      0.850    -0.124
22.1274      0.851    -0.126
22.4492      0.851    -0.129
22.7758      0.852    -0.131
23.1071      0.853    -0.134
23.4432      0.853    -0.136
23.7841      0.854    -0.139
24.1301      0.854    -0.141
24.4811      0.855    -0.144
24.8372      0.856    -0.147
25.1984      0.856    -0.150
25.5649      0.857    -0.153
25.9368      0.858    -0.156
26.3141      0.858    -0.159
26.6968      0.859    -0.162
27.0851      0.860    -0.165
27.4791      0.861    -0.168
27.8788      0.861    -0.172
28.2843      0.862    -0.175
28.6957      0.863    -0.178
29.1131      0.864    -0.182
29.5365      0.865    -0.185
29.9661      0.866    -0.189
30.4020      0.867    -0.193
30.8442      0.868    -0.197
31.2929      0.869    -0.201
31.7480      0.870    -0.205
