Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.340     0.291
5.07273      1.340     0.295
5.14651      1.340     0.299
5.22137      1.340     0.304
5.29732      1.340     0.308
5.37437      1.341     0.312
5.45254      1.341     0.317
5.53185      1.341     0.322
5.61231      1.341     0.326
5.69394      1.341     0.331
5.77676      1.341     0.336
5.86079      1.341     0.341
5.94604      1.341     0.346
6.03252      1.341     0.351
6.12027      1.341     0.356
6.20929      1.341     0.361
6.29961      1.342     0.367
6.39124      1.342     0.372
6.48420      1.342     0.377
6.57851      1.342     0.383
6.67420      1.342     0.388
6.77128      1.342     0.394
6.86977      1.342     0.400
6.96969      1.342     0.406
7.07107      1.343     0.412
7.17392      1.343     0.418
7.27827      1.343     0.424
7.38413      1.343     0.430
7.49154      1.343     0.436
7.60050      1.343     0.442
7.71105      1.343     0.449
7.82321      1.344     0.455
7.93701      1.344     0.462
8.05245      1.344     0.469
8.16958      1.344     0.476
8.28841      1.344     0.482
8.40896      1.345     0.489
8.53128      1.345     0.497
8.65537      1.345     0.504
8.78126      1.345     0.511
8.90899      1.345     0.518
9.03857      1.346     0.526
9.17004      1.346     0.534
9.30342      1.346     0.541
9.43874      1.346     0.549
9.57603      1.347     0.557
9.71532      1.347     0.565
9.85663      1.347     0.573
10.0000      1.347     0.582
10.1455      1.348     0.590
10.2930      1.348     0.599
10.4427      1.348     0.607
10.5946      1.348     0.616
10.7487      1.349     0.625
10.9051      1.349     0.634
11.0637      1.349     0.643
11.2246      1.350     0.652
11.3879      1.350     0.662
11.5535      1.351     0.671
11.7216      1.351     0.681
11.8921      1.351     0.691
12.0650      1.352     0.701
12.2405      1.352     0.711
12.4186      1.352     0.721
12.5992      1.353     0.731
12.7825      1.353     0.742
12.9684      1.354     0.752
13.1570      1.354     0.763
13.3484      1.355     0.774
13.5426      1.355     0.785
13.7395      1.356     0.796
13.9394      1.356     0.808
14.1421      1.357     0.819
14.3478      1.357     0.831
14.5565      1.358     0.843
14.7683      1.359     0.855
14.9831      1.359     0.867
15.2010      1.360     0.879
15.4221      1.360     0.891
15.6464      1.361     0.903
15.8740      1.362     0.916
16.1049      1.362     0.928
16.3392      1.363     0.941
16.5768      1.364     0.954
16.8179      1.365     0.967
