Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.462     0.419
5.07273      1.462     0.425
5.14651      1.462     0.431
5.22137      1.462     0.437
5.29732      1.462     0.444
5.37437      1.462     0.450
5.45254      1.462     0.457
5.53185      1.462     0.464
5.61231      1.462     0.470
5.69394      1.462     0.477
5.77676      1.462     0.484
5.86079      1.462     0.491
5.94604      1.462     0.498
6.03252      1.463     0.506
6.12027      1.463     0.513
6.20929      1.463     0.521
6.29961      1.463     0.528
6.39124      1.463     0.536
6.48420      1.463     0.544
6.57851      1.463     0.552
6.67420      1.463     0.560
6.77128      1.463     0.568
6.86977      1.463     0.576
6.96969      1.463     0.585
7.07107      1.464     0.593
7.17392      1.464     0.602
7.27827      1.464     0.611
7.38413      1.464     0.619
7.49154      1.464     0.629
7.60050      1.464     0.638
7.71105      1.464     0.647
7.82321      1.464     0.656
7.93701      1.465     0.666
8.05245      1.465     0.676
8.16958      1.465     0.686
8.28841      1.465     0.696
8.40896      1.465     0.706
8.53128      1.465     0.716
8.65537      1.465     0.726
8.78126      1.466     0.737
8.90899      1.466     0.748
9.03857      1.466     0.759
9.17004      1.466     0.770
9.30342      1.466     0.781
9.43874      1.467     0.792
9.57603      1.467     0.804
9.71532      1.467     0.815
9.85663      1.467     0.827
10.0000      1.467     0.839
10.1455      1.468     0.852
10.2930      1.468     0.864
10.4427      1.468     0.876
10.5946      1.468     0.889
10.7487      1.469     0.902
10.9051      1.469     0.915
11.0637      1.469     0.929
11.2246      1.469     0.942
11.3879      1.470     0.956
11.5535      1.470     0.970
11.7216      1.470     0.984
11.8921      1.471     0.998
12.0650      1.471     1.012
12.2405      1.471     1.027
12.4186      1.472     1.042
12.5992      1.472     1.057
12.7825      1.472     1.072
12.9684      1.473     1.088
13.1570      1.473     1.104
13.3484      1.473     1.120
13.5426      1.474     1.136
13.7395      1.474     1.152
13.9394      1.475     1.169
14.1421      1.475     1.186
14.3478      1.476     1.203
14.5565      1.476     1.220
14.7683      1.476     1.238
14.9831      1.477     1.256
15.2010      1.477     1.274
15.4221      1.478     1.292
15.6464      1.478     1.310
15.8740      1.479     1.328
16.1049      1.480     1.347
16.3392      1.480     1.366
16.5768      1.481     1.385
16.8179      1.481     1.405
17.0626      1.482     1.424
17.3107      1.483     1.444
17.5625      1.483     1.465
17.8180      1.484     1.485
18.0771      1.485     1.506
18.3401      1.485     1.527
18.6068      1.486     1.549
18.8775      1.487     1.571
19.1521      1.488     1.593
19.4306      1.489     1.615
19.7133      1.489     1.638
20.0000      1.490     1.661
20.2909      1.491     1.684
20.5860      1.492     1.708
20.8855      1.493     1.732
21.1893      1.494     1.756
21.4975      1.495     1.780
21.8102      1.496     1.805
22.1274      1.497     1.831
22.4492      1.498     1.856
22.7758      1.499     1.882
23.1071      1.500     1.909
23.4432      1.502     1.935
23.7841      1.503     1.962
24.1301      1.504     1.990
24.4811      1.505     2.018
24.8372      1.507     2.046
25.1984      1.508     2.074
25.5649      1.509     2.103
25.9368      1.511     2.133
26.3141      1.512     2.162
26.6968      1.514     2.192
27.0851      1.515     2.223
27.4791      1.517     2.254
27.8788      1.519     2.285
28.2843      1.520     2.317
28.6957      1.522     2.349
29.1131      1.524     2.381
29.5365      1.526     2.414
29.9661      1.528     2.448
30.4020      1.530     2.481
30.8442      1.532     2.515
31.2929      1.534     2.550
31.7480      1.536     2.585
32.2098      1.538     2.621
32.6783      1.540     2.657
33.1536      1.543     2.693
33.6359      1.545     2.730
34.1251      1.548     2.767
34.6215      1.550     2.805
35.1250      1.553     2.843
35.6359      1.555     2.882
36.1543      1.558     2.921
36.6802      1.561     2.961
37.2137      1.564     3.001
37.7550      1.567     3.042
38.3041      1.570     3.083
