Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.785     0.816
5.07273      1.786     0.828
5.14651      1.786     0.840
5.22137      1.786     0.853
5.29732      1.786     0.865
5.37437      1.786     0.878
5.45254      1.786     0.890
5.53185      1.786     0.903
5.61231      1.786     0.917
5.69394      1.786     0.930
5.77676      1.787     0.944
5.86079      1.787     0.957
5.94604      1.787     0.971
6.03252      1.787     0.985
6.12027      1.787     1.000
6.20929      1.787     1.014
6.29961      1.787     1.029
6.39124      1.788     1.044
6.48420      1.788     1.059
6.57851      1.788     1.075
6.67420      1.788     1.090
6.77128      1.788     1.106
6.86977      1.789     1.122
6.96969      1.789     1.139
7.07107      1.789     1.155
7.17392      1.789     1.172
7.27827      1.789     1.189
7.38413      1.790     1.206
7.49154      1.790     1.224
7.60050      1.790     1.242
7.71105      1.790     1.260
7.82321      1.790     1.278
7.93701      1.791     1.297
8.05245      1.791     1.316
8.16958      1.791     1.335
8.28841      1.791     1.354
8.40896      1.792     1.374
8.53128      1.792     1.394
8.65537      1.792     1.414
8.78126      1.793     1.435
8.90899      1.793     1.455
9.03857      1.793     1.476
9.17004      1.794     1.498
9.30342      1.794     1.520
9.43874      1.794     1.542
9.57603      1.795     1.564
9.71532      1.795     1.587
9.85663      1.795     1.610
10.0000      1.796     1.633
10.1455      1.796     1.657
10.2930      1.797     1.681
10.4427      1.797     1.705
10.5946      1.797     1.730
10.7487      1.798     1.755
10.9051      1.798     1.780
11.0637      1.799     1.806
11.2246      1.799     1.832
11.3879      1.800     1.859
11.5535      1.800     1.886
11.7216      1.801     1.913
11.8921      1.801     1.941
12.0650      1.802     1.969
12.2405      1.803     1.997
12.4186      1.803     2.026
12.5992      1.804     2.055
12.7825      1.804     2.085
12.9684      1.805     2.115
13.1570      1.806     2.146
13.3484      1.806     2.177
13.5426      1.807     2.208
13.7395      1.808     2.240
13.9394      1.809     2.272
14.1421      1.809     2.305
14.3478      1.810     2.338
14.5565      1.811     2.372
14.7683      1.812     2.406
14.9831      1.813     2.441
15.2010      1.814     2.476
15.4221      1.814     2.511
15.6464      1.815     2.547
15.8740      1.816     2.583
16.1049      1.817     2.619
16.3392      1.818     2.656
16.5768      1.819     2.694
16.8179      1.821     2.732
17.0626      1.822     2.771
17.3107      1.823     2.810
17.5625      1.824     2.850
17.8180      1.825     2.891
18.0771      1.826     2.931
18.3401      1.828     2.973
18.6068      1.829     3.015
18.8775      1.830     3.058
19.1521      1.832     3.101
19.4306      1.833     3.145
19.7133      1.835     3.189
20.0000      1.836     3.234
20.2909      1.838     3.280
20.5860      1.839     3.326
20.8855      1.841     3.373
21.1893      1.843     3.420
21.4975      1.845     3.469
21.8102      1.846     3.517
22.1274      1.848     3.567
22.4492      1.850     3.617
22.7758      1.852     3.668
23.1071      1.854     3.719
23.4432      1.856     3.772
23.7841      1.858     3.824
24.1301      1.861     3.878
24.4811      1.863     3.932
24.8372      1.865     3.987
25.1984      1.868     4.043
25.5649      1.870     4.099
25.9368      1.873     4.157
26.3141      1.875     4.215
26.6968      1.878     4.273
27.0851      1.881     4.333
27.4791      1.883     4.393
27.8788      1.886     4.454
28.2843      1.889     4.516
28.6957      1.892     4.578
29.1131      1.896     4.642
29.5365      1.899     4.706
29.9661      1.902     4.771
30.4020      1.906     4.836
30.8442      1.909     4.903
31.2929      1.913     4.970
31.7480      1.917     5.039
32.2098      1.920     5.108
32.6783      1.924     5.178
33.1536      1.929     5.248
33.6359      1.933     5.320
34.1251      1.937     5.393
34.6215      1.941     5.466
35.1250      1.946     5.540
35.6359      1.951     5.615
36.1543      1.955     5.691
36.6802      1.960     5.768
37.2137      1.965     5.846
37.7550      1.971     5.924
38.3041      1.976     6.004
38.8613      1.981     6.084
39.4265      1.987     6.165
40.0000      1.993     6.248
40.5818      1.999     6.331
41.1721      2.005     6.415
41.7710      2.011     6.500
42.3785      2.018     6.585
42.9949      2.024     6.672
43.6203      2.031     6.760
44.2548      2.038     6.848
44.8985      2.045     6.937
45.5515      2.053     7.028
46.2141      2.060     7.119
46.8863      2.068     7.211
47.5683      2.076     7.304
48.2602      2.084     7.398
48.9621      2.093     7.492
49.6743      2.101     7.588
50.3968      2.110     7.684
51.1299      2.119     7.781
51.8736      2.129     7.880
52.6281      2.138     7.978
53.3936      2.148     8.078
54.1702      2.158     8.178
54.9581      2.168     8.280
55.7575      2.179     8.382
56.5685      2.190     8.485
57.3914      2.201     8.588
58.2261      2.213     8.693
59.0730      2.224     8.798
59.9323      2.236     8.903
60.8040      2.249     9.010
61.6884      2.261     9.117
62.5857      2.274     9.224
63.4960      2.287     9.333
64.4196      2.301     9.441
65.3566      2.315     9.551
66.3073      2.329     9.660
67.2717      2.344     9.771
68.2502      2.359     9.882
69.2429      2.374     9.993
70.2501      2.390    10.104
71.2719      2.406    10.216
72.3086      2.422    10.329
73.3603      2.439    10.441
74.4274      2.456    10.554
75.5099      2.474    10.667
76.6083      2.492    10.780
77.7226      2.510    10.893
78.8531      2.529    11.006
80.0000      2.549    11.119
81.1636      2.568    11.232
82.3442      2.588    11.345
83.5419      2.609    11.457
84.7570      2.630    11.570
85.9899      2.652    11.682
87.2406      2.674    11.794
88.5096      2.696    11.905
89.7970      2.719    12.016
91.1031      2.742    12.126
92.4282      2.766    12.236
93.7726      2.790    12.345
95.1366      2.815    12.453
96.5204      2.841    12.560
97.9243      2.866    12.666
99.3486      2.893    12.771
100.794      2.920    12.875
102.260      2.947    12.978
103.747      2.975    13.079
105.256      3.003    13.179
106.787      3.032    13.278
108.340      3.062    13.375
109.916      3.092    13.470
111.515      3.122    13.563
113.137      3.153    13.654
114.783      3.185    13.744
116.452      3.217    13.831
118.146      3.250    13.916
119.865      3.283    13.999
121.608      3.317    14.079
123.377      3.351    14.157
125.171      3.386    14.232
126.992      3.421    14.304
128.839      3.457    14.373
130.713      3.493    14.439
132.615      3.530    14.502
134.543      3.568    14.562
136.500      3.606    14.618
138.486      3.644    14.671
140.500      3.683    14.720
142.544      3.722    14.765
144.617      3.762    14.807
146.721      3.803    14.844
148.855      3.844    14.877
151.020      3.885    14.906
153.217      3.927    14.930
155.445      3.969    14.950
157.706      4.011    14.965
160.000      4.055    14.975
162.327      4.098    14.980
164.688      4.142    14.981
167.084      4.186    14.976
169.514      4.231    14.965
171.980      4.276    14.949
174.481      4.321    14.928
177.019      4.367    14.901
179.594      4.413    14.868
182.206      4.459    14.829
184.856      4.505    14.784
187.545      4.552    14.733
190.273      4.599    14.675
193.041      4.646    14.612
195.849      4.693    14.541
198.697      4.741    14.464
201.587      4.788    14.381
204.520      4.836    14.291
207.494      4.884    14.193
210.512      4.931    14.089
213.574      4.979    13.977
216.681      5.027    13.859
219.833      5.075    13.733
223.030      5.123    13.600
226.274      5.170    13.460
229.565      5.218    13.312
232.905      5.265    13.157
236.292      5.313    12.994
239.729      5.360    12.824
243.216      5.406    12.646
246.754      5.453    12.461
250.343      5.499    12.268
253.984      5.545    12.067
257.678      5.591    11.859
261.426      5.636    11.643
265.229      5.680    11.419
269.087      5.724    11.188
273.001      5.768    10.949
276.972      5.811    10.703
281.000      5.854    10.449
285.088      5.895    10.188
289.234      5.937     9.919
293.441      5.977     9.643
297.709      6.017     9.360
302.040      6.056     9.070
306.433      6.094     8.772
310.890      6.131     8.468
315.412      6.168     8.158
320.000      6.203     7.840
324.655      6.238     7.516
329.377      6.271     7.186
334.168      6.304     6.850
339.028      6.335     6.508
343.959      6.365     6.161
348.962      6.395     5.808
354.038      6.423     5.449
359.188      6.450     5.086
364.412      6.475     4.718
369.713      6.500     4.346
375.090      6.523     3.970
380.546      6.545     3.589
386.081      6.566     3.205
391.697      6.585     2.818
397.394      6.603     2.429
403.175      6.620     2.037
409.039      6.635     1.642
414.989      6.649     1.246
421.025      6.662     0.848
427.149      6.674     0.449
433.362      6.684     0.050
439.665      6.692    -0.349
446.060      6.700    -0.749
452.548      6.706    -1.148
459.131      6.711    -1.547
465.809      6.715    -1.945
472.584      6.718    -2.341
479.458      6.719    -2.735
486.432      6.719    -3.127
493.507      6.719    -3.518
500.686      6.717    -3.906
507.968      6.715    -4.291
515.357      6.711    -4.673
522.853      6.707    -5.052
530.458      6.702    -5.429
538.174      6.697    -5.803
546.002      6.690    -6.173
553.943      6.684    -6.541
562.001      6.677    -6.906
570.175      6.669    -7.269
578.469      6.661    -7.630
586.883      6.653    -7.989
595.419      6.644    -8.347
604.080      6.636    -8.704
612.866      6.627    -9.060
621.780      6.618    -9.417
630.824      6.609    -9.774
640.000      6.599   -10.133
649.309      6.590   -10.493
658.753      6.580   -10.856
668.335      6.570   -11.223
678.056      6.560   -11.594
687.919      6.549   -11.968
697.925      6.537   -12.347
708.077      6.525   -12.732
718.376      6.512   -13.121
728.825      6.498   -13.516
739.426      6.482   -13.917
750.181      6.465   -14.322
761.093      6.447   -14.731
772.163      6.427   -15.144
783.394      6.404   -15.561
794.789      6.380   -15.979
806.349      6.353   -16.397
818.078      6.323   -16.814
829.977      6.291   -17.226
842.050      6.256   -17.634
854.298      6.219   -18.033
866.724      6.178   -18.421
879.330      6.135   -18.794
892.120      6.088   -19.150
905.097      6.040   -19.486
918.262      5.989   -19.798
931.618      5.937   -20.083
945.169      5.883   -20.337
958.917      5.828   -20.558
972.864      5.773   -20.744
987.015      5.719   -20.892
1001.37      5.666   -21.002
1015.94      5.616   -21.072
1030.71      5.570   -21.104
1045.71      5.528   -21.101
1060.92      5.492   -21.065
1076.35      5.463   -21.001
1092.00      5.441   -20.913
1107.89      5.428   -20.811
1124.00      5.423   -20.703
1140.35      5.429   -20.598
1156.94      5.443   -20.506
1173.77      5.468   -20.437
1190.84      5.501   -20.402
1208.16      5.543   -20.410
1225.73      5.591   -20.471
1243.56      5.646   -20.590
1261.65      5.706   -20.775
1280.00      5.769   -21.030
1298.62      5.834   -21.357
1317.51      5.899   -21.757
1336.67      5.962   -22.227
1356.11      6.022   -22.766
1375.84      6.078   -23.370
1395.85      6.128   -24.032
1416.15      6.172   -24.746
1436.75      6.208   -25.503
1457.65      6.236   -26.295
1478.85      6.255   -27.116
1500.36      6.266   -27.955
