Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.551     0.467
5.07273      1.551     0.474
5.14651      1.551     0.481
5.22137      1.551     0.488
5.29732      1.551     0.495
5.37437      1.551     0.502
5.45254      1.551     0.510
5.53185      1.551     0.517
5.61231      1.551     0.525
5.69394      1.551     0.532
5.77676      1.552     0.540
5.86079      1.552     0.548
5.94604      1.552     0.556
6.03252      1.552     0.564
6.12027      1.552     0.572
6.20929      1.552     0.581
6.29961      1.552     0.589
6.39124      1.552     0.598
6.48420      1.552     0.607
6.57851      1.553     0.615
6.67420      1.553     0.624
6.77128      1.553     0.633
6.86977      1.553     0.643
6.96969      1.553     0.652
7.07107      1.553     0.662
7.17392      1.553     0.671
7.27827      1.554     0.681
7.38413      1.554     0.691
7.49154      1.554     0.701
7.60050      1.554     0.711
7.71105      1.554     0.721
7.82321      1.554     0.732
7.93701      1.555     0.743
8.05245      1.555     0.753
8.16958      1.555     0.764
8.28841      1.555     0.775
8.40896      1.555     0.787
8.53128      1.556     0.798
8.65537      1.556     0.810
8.78126      1.556     0.822
8.90899      1.556     0.834
9.03857      1.557     0.846
9.17004      1.557     0.858
9.30342      1.557     0.870
9.43874      1.557     0.883
9.57603      1.558     0.896
9.71532      1.558     0.909
9.85663      1.558     0.922
10.0000      1.559     0.935
10.1455      1.559     0.949
10.2930      1.559     0.963
10.4427      1.560     0.977
10.5946      1.560     0.991
10.7487      1.560     1.005
10.9051      1.561     1.020
11.0637      1.561     1.034
11.2246      1.561     1.049
11.3879      1.562     1.065
11.5535      1.562     1.080
11.7216      1.563     1.096
11.8921      1.563     1.111
12.0650      1.563     1.128
12.2405      1.564     1.144
12.4186      1.564     1.160
12.5992      1.565     1.177
12.7825      1.565     1.194
12.9684      1.566     1.211
13.1570      1.566     1.229
13.3484      1.567     1.246
13.5426      1.567     1.264
13.7395      1.568     1.283
13.9394      1.569     1.301
14.1421      1.569     1.320
14.3478      1.570     1.339
14.5565      1.570     1.358
14.7683      1.571     1.378
14.9831      1.572     1.397
15.2010      1.572     1.417
15.4221      1.573     1.437
15.6464      1.574     1.457
15.8740      1.575     1.478
16.1049      1.575     1.498
16.3392      1.576     1.519
16.5768      1.577     1.541
16.8179      1.578     1.562
17.0626      1.579     1.584
17.3107      1.580     1.606
17.5625      1.580     1.629
17.8180      1.581     1.652
18.0771      1.582     1.675
18.3401      1.583     1.698
18.6068      1.584     1.722
18.8775      1.585     1.746
19.1521      1.587     1.770
19.4306      1.588     1.795
19.7133      1.589     1.820
20.0000      1.590     1.845
20.2909      1.591     1.871
20.5860      1.592     1.897
20.8855      1.594     1.923
21.1893      1.595     1.950
21.4975      1.596     1.977
21.8102      1.598     2.005
22.1274      1.599     2.033
22.4492      1.601     2.061
22.7758      1.602     2.089
23.1071      1.604     2.118
23.4432      1.605     2.148
23.7841      1.607     2.177
24.1301      1.609     2.207
24.4811      1.611     2.238
24.8372      1.612     2.269
25.1984      1.614     2.300
25.5649      1.616     2.331
25.9368      1.618     2.363
26.3141      1.620     2.396
26.6968      1.622     2.429
27.0851      1.624     2.462
27.4791      1.627     2.496
27.8788      1.629     2.530
28.2843      1.631     2.564
28.6957      1.634     2.599
