Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.220     0.200
5.07273      1.220     0.202
5.14651      1.220     0.205
5.22137      1.220     0.208
5.29732      1.220     0.212
5.37437      1.220     0.215
5.45254      1.220     0.218
5.53185      1.220     0.221
5.61231      1.220     0.224
5.69394      1.220     0.228
5.77676      1.220     0.231
5.86079      1.220     0.234
5.94604      1.220     0.238
6.03252      1.221     0.241
6.12027      1.221     0.245
6.20929      1.221     0.248
6.29961      1.221     0.252
6.39124      1.221     0.256
6.48420      1.221     0.259
6.57851      1.221     0.263
6.67420      1.221     0.267
6.77128      1.221     0.271
6.86977      1.221     0.275
6.96969      1.221     0.279
7.07107      1.221     0.283
7.17392      1.221     0.287
7.27827      1.222     0.292
7.38413      1.222     0.296
7.49154      1.222     0.300
7.60050      1.222     0.304
7.71105      1.222     0.309
7.82321      1.222     0.313
7.93701      1.222     0.318
8.05245      1.222     0.323
8.16958      1.222     0.327
8.28841      1.222     0.332
8.40896      1.223     0.337
8.53128      1.223     0.342
8.65537      1.223     0.347
8.78126      1.223     0.352
8.90899      1.223     0.357
9.03857      1.223     0.362
9.17004      1.223     0.368
9.30342      1.224     0.373
9.43874      1.224     0.378
9.57603      1.224     0.384
9.71532      1.224     0.390
9.85663      1.224     0.395
10.0000      1.224     0.401
10.1455      1.224     0.407
10.2930      1.225     0.413
10.4427      1.225     0.419
10.5946      1.225     0.425
10.7487      1.225     0.431
10.9051      1.225     0.437
11.0637      1.226     0.444
11.2246      1.226     0.450
11.3879      1.226     0.457
11.5535      1.226     0.463
11.7216      1.227     0.470
11.8921      1.227     0.477
12.0650      1.227     0.484
12.2405      1.227     0.491
12.4186      1.228     0.498
12.5992      1.228     0.505
12.7825      1.228     0.512
12.9684      1.228     0.520
13.1570      1.229     0.527
13.3484      1.229     0.535
13.5426      1.229     0.543
13.7395      1.230     0.551
13.9394      1.230     0.558
14.1421      1.230     0.567
14.3478      1.231     0.575
14.5565      1.231     0.583
14.7683      1.231     0.591
14.9831      1.232     0.600
15.2010      1.232     0.608
15.4221      1.233     0.616
15.6464      1.233     0.625
15.8740      1.233     0.633
16.1049      1.234     0.642
16.3392      1.234     0.651
16.5768      1.235     0.660
16.8179      1.235     0.669
17.0626      1.236     0.678
17.3107      1.236     0.687
17.5625      1.237     0.697
17.8180      1.237     0.706
18.0771      1.238     0.716
18.3401      1.238     0.725
18.6068      1.239     0.735
18.8775      1.240     0.745
19.1521      1.240     0.756
19.4306      1.241     0.766
19.7133      1.241     0.776
20.0000      1.242     0.787
20.2909      1.243     0.798
20.5860      1.243     0.808
20.8855      1.244     0.819
21.1893      1.245     0.831
21.4975      1.246     0.842
21.8102      1.247     0.853
22.1274      1.247     0.865
22.4492      1.248     0.877
22.7758      1.249     0.889
23.1071      1.250     0.901
23.4432      1.251     0.913
23.7841      1.252     0.925
24.1301      1.253     0.938
24.4811      1.254     0.950
24.8372      1.255     0.963
25.1984      1.256     0.976
25.5649      1.257     0.989
25.9368      1.258     1.003
26.3141      1.259     1.016
26.6968      1.260     1.030
27.0851      1.262     1.044
27.4791      1.263     1.058
27.8788      1.264     1.072
28.2843      1.265     1.086
28.6957      1.267     1.100
29.1131      1.268     1.115
29.5365      1.270     1.130
29.9661      1.271     1.145
30.4020      1.273     1.160
30.8442      1.274     1.175
31.2929      1.276     1.191
31.7480      1.278     1.207
32.2098      1.279     1.223
32.6783      1.281     1.239
33.1536      1.283     1.255
33.6359      1.285     1.271
34.1251      1.287     1.288
34.6215      1.289     1.305
35.1250      1.291     1.321
35.6359      1.293     1.339
36.1543      1.295     1.356
36.6802      1.297     1.373
37.2137      1.299     1.391
37.7550      1.302     1.409
38.3041      1.304     1.427
38.8613      1.306     1.445
39.4265      1.309     1.463
40.0000      1.312     1.482
40.5818      1.314     1.500
41.1721      1.317     1.519
41.7710      1.320     1.538
42.3785      1.323     1.557
42.9949      1.326     1.576
43.6203      1.329     1.596
44.2548      1.332     1.615
44.8985      1.335     1.635
45.5515      1.338     1.655
46.2141      1.342     1.675
46.8863      1.345     1.695
47.5683      1.349     1.715
48.2602      1.353     1.735
48.9621      1.357     1.756
49.6743      1.361     1.777
50.3968      1.365     1.797
51.1299      1.369     1.818
51.8736      1.373     1.839
52.6281      1.377     1.860
53.3936      1.382     1.881
54.1702      1.386     1.902
54.9581      1.391     1.923
55.7575      1.396     1.945
56.5685      1.401     1.966
57.3914      1.406     1.987
58.2261      1.412     2.009
59.0730      1.417     2.030
59.9323      1.423     2.051
60.8040      1.428     2.072
61.6884      1.434     2.094
62.5857      1.440     2.115
63.4960      1.446     2.136
64.4196      1.453     2.157
65.3566      1.459     2.178
66.3073      1.466     2.199
67.2717      1.473     2.220
68.2502      1.480     2.241
69.2429      1.487     2.261
70.2501      1.495     2.282
71.2719      1.502     2.302
72.3086      1.510     2.322
73.3603      1.518     2.341
74.4274      1.526     2.361
75.5099      1.535     2.380
76.6083      1.543     2.398
77.7226      1.552     2.417
78.8531      1.561     2.435
80.0000      1.571     2.452
81.1636      1.580     2.470
82.3442      1.590     2.486
83.5419      1.600     2.502
84.7570      1.610     2.518
85.9899      1.621     2.533
87.2406      1.632     2.548
88.5096      1.643     2.561
89.7970      1.654     2.574
91.1031      1.666     2.587
92.4282      1.678     2.598
93.7726      1.690     2.609
95.1366      1.702     2.619
96.5204      1.715     2.628
97.9243      1.728     2.635
99.3486      1.741     2.642
100.794      1.755     2.648
102.260      1.769     2.653
103.747      1.783     2.656
105.256      1.798     2.659
106.787      1.813     2.659
108.340      1.828     2.659
109.916      1.844     2.657
111.515      1.860     2.653
113.137      1.876     2.648
114.783      1.893     2.642
116.452      1.910     2.633
118.146      1.927     2.623
119.865      1.945     2.611
121.608      1.963     2.596
123.377      1.981     2.580
125.171      2.000     2.562
126.992      2.019     2.541
128.839      2.039     2.519
130.713      2.059     2.493
132.615      2.079     2.465
134.543      2.100     2.435
136.500      2.121     2.402
138.486      2.142     2.366
140.500      2.164     2.327
142.544      2.186     2.286
144.617      2.209     2.241
146.721      2.232     2.192
148.855      2.255     2.141
151.020      2.279     2.086
153.217      2.303     2.028
155.445      2.328     1.966
157.706      2.353     1.900
160.000      2.378     1.830
162.327      2.404     1.756
164.688      2.430     1.678
167.084      2.457     1.596
169.514      2.484     1.510
171.980      2.511     1.418
174.481      2.539     1.322
177.019      2.567     1.222
179.594      2.595     1.116
182.206      2.624     1.005
184.856      2.653     0.890
187.545      2.682     0.768
190.273      2.712     0.642
193.041      2.742     0.509
195.849      2.772     0.371
198.697      2.803     0.227
201.587      2.834     0.077
204.520      2.865    -0.079
207.494      2.896    -0.241
210.512      2.928    -0.410
213.574      2.960    -0.586
216.681      2.992    -0.768
219.833      3.024    -0.957
223.030      3.056    -1.152
226.274      3.089    -1.355
229.565      3.122    -1.566
232.905      3.155    -1.783
236.292      3.188    -2.009
239.729      3.221    -2.241
243.216      3.254    -2.481
246.754      3.287    -2.730
250.343      3.321    -2.986
253.984      3.354    -3.251
257.678      3.387    -3.523
261.426      3.421    -3.804
265.229      3.454    -4.093
269.087      3.487    -4.390
273.001      3.520    -4.697
276.972      3.553    -5.012
281.000      3.585    -5.336
285.088      3.618    -5.668
289.234      3.650    -6.009
293.441      3.682    -6.360
297.709      3.714    -6.719
302.040      3.745    -7.088
306.433      3.776    -7.465
310.890      3.807    -7.852
315.412      3.837    -8.248
320.000      3.867    -8.653
324.655      3.896    -9.068
329.377      3.925    -9.491
334.168      3.953    -9.924
339.028      3.981   -10.366
343.959      4.008   -10.817
348.962      4.035   -11.278
354.038      4.061   -11.748
359.188      4.086   -12.227
364.412      4.110   -12.714
369.713      4.134   -13.211
375.090      4.157   -13.717
380.546      4.179   -14.232
386.081      4.201   -14.755
391.697      4.221   -15.288
397.394      4.241   -15.828
403.175      4.260   -16.377
409.039      4.278   -16.935
414.989      4.294   -17.501
421.025      4.310   -18.075
427.149      4.325   -18.657
433.362      4.339   -19.247
439.665      4.352   -19.844
446.060      4.364   -20.449
452.548      4.375   -21.061
459.131      4.385   -21.681
465.809      4.394   -22.308
472.584      4.402   -22.941
479.458      4.409   -23.582
486.432      4.415   -24.229
493.507      4.420   -24.883
500.686      4.423   -25.543
507.968      4.426   -26.210
515.357      4.428   -26.883
522.853      4.429   -27.562
530.458      4.429   -28.247
538.174      4.428   -28.939
546.002      4.426   -29.636
553.943      4.424   -30.340
562.001      4.420   -31.050
570.175      4.416   -31.766
578.469      4.411   -32.489
586.883      4.405   -33.218
595.419      4.398   -33.954
604.080      4.391   -34.698
612.866      4.383   -35.448
621.780      4.375   -36.207
630.824      4.366   -36.973
640.000      4.356   -37.749
649.309      4.345   -38.532
658.753      4.334   -39.326
668.335      4.323   -40.129
678.056      4.310   -40.944
687.919      4.297   -41.769
697.925      4.284   -42.605
708.077      4.269   -43.454
718.376      4.254   -44.316
728.825      4.238   -45.192
739.426      4.221   -46.082
750.181      4.203   -46.986
761.093      4.183   -47.905
772.163      4.163   -48.839
783.394      4.140   -49.790
794.789      4.117   -50.757
806.349      4.091   -51.740
818.078      4.063   -52.739
829.977      4.034   -53.754
842.050      4.002   -54.786
854.298      3.968   -55.834
866.724      3.931   -56.897
879.330      3.891   -57.975
892.120      3.848   -59.067
905.097      3.802   -60.173
918.262      3.752   -61.292
931.618      3.700   -62.421
945.169      3.643   -63.559
958.917      3.583   -64.705
972.864      3.519   -65.860
987.015      3.451   -67.019
1001.37      3.380   -68.181
1015.94      3.304   -69.344
1030.71      3.225   -70.507
1045.71      3.143   -71.669
1060.92      3.056   -72.827
1076.35      2.967   -73.980
1092.00      2.874   -75.126
1107.89      2.779   -76.263
1124.00      2.681   -77.393
1140.35      2.581   -78.513
1156.94      2.478   -79.623
1173.77      2.375   -80.723
1190.84      2.270   -81.814
1208.16      2.164   -82.896
1225.73      2.058   -83.971
1243.56      1.951   -85.040
1261.65      1.845   -86.103
1280.00      1.738   -87.165
1298.62      1.632   -88.228
1317.51      1.526   -89.292
1336.67      1.421   -90.361
1356.11      1.316   -91.436
1375.84      1.212   -92.522
1395.85      1.108   -93.618
1416.15      1.004   -94.726
1436.75      0.900   -95.849
1457.65      0.796   -96.986
1478.85      0.692   -98.141
1500.36      0.588   -99.314
1522.19      0.483  -100.504
1544.33      0.377  -101.714
1566.79      0.272  -102.944
