Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.770     0.809
5.07273      1.770     0.820
5.14651      1.771     0.832
5.22137      1.771     0.845
5.29732      1.771     0.857
5.37437      1.771     0.869
5.45254      1.771     0.882
5.53185      1.771     0.895
5.61231      1.771     0.908
5.69394      1.771     0.921
5.77676      1.771     0.935
5.86079      1.772     0.948
5.94604      1.772     0.962
6.03252      1.772     0.976
6.12027      1.772     0.990
6.20929      1.772     1.005
6.29961      1.772     1.019
6.39124      1.773     1.034
6.48420      1.773     1.049
6.57851      1.773     1.064
6.67420      1.773     1.080
6.77128      1.773     1.096
6.86977      1.773     1.112
6.96969      1.774     1.128
7.07107      1.774     1.144
7.17392      1.774     1.161
7.27827      1.774     1.178
7.38413      1.774     1.195
7.49154      1.775     1.212
7.60050      1.775     1.230
7.71105      1.775     1.248
7.82321      1.775     1.266
7.93701      1.776     1.284
8.05245      1.776     1.303
8.16958      1.776     1.322
8.28841      1.776     1.341
8.40896      1.777     1.361
8.53128      1.777     1.380
8.65537      1.777     1.400
8.78126      1.778     1.421
8.90899      1.778     1.441
9.03857      1.778     1.462
9.17004      1.778     1.484
9.30342      1.779     1.505
9.43874      1.779     1.527
9.57603      1.780     1.549
9.71532      1.780     1.572
9.85663      1.780     1.594
10.0000      1.781     1.617
10.1455      1.781     1.641
10.2930      1.781     1.665
10.4427      1.782     1.689
10.5946      1.782     1.713
10.7487      1.783     1.738
10.9051      1.783     1.763
11.0637      1.784     1.789
11.2246      1.784     1.815
11.3879      1.785     1.841
11.5535      1.785     1.868
11.7216      1.786     1.895
11.8921      1.786     1.922
12.0650      1.787     1.950
12.2405      1.788     1.978
12.4186      1.788     2.007
12.5992      1.789     2.036
12.7825      1.789     2.065
12.9684      1.790     2.095
13.1570      1.791     2.125
13.3484      1.791     2.156
13.5426      1.792     2.187
13.7395      1.793     2.218
13.9394      1.794     2.250
14.1421      1.794     2.283
14.3478      1.795     2.316
14.5565      1.796     2.349
14.7683      1.797     2.383
14.9831      1.798     2.417
15.2010      1.799     2.451
15.4221      1.800     2.486
15.6464      1.800     2.521
15.8740      1.801     2.557
16.1049      1.802     2.593
16.3392      1.804     2.630
16.5768      1.805     2.667
16.8179      1.806     2.705
17.0626      1.807     2.744
17.3107      1.808     2.782
17.5625      1.809     2.822
17.8180      1.810     2.862
18.0771      1.812     2.902
18.3401      1.813     2.943
18.6068      1.814     2.985
18.8775      1.816     3.027
19.1521      1.817     3.070
19.4306      1.818     3.113
19.7133      1.820     3.157
20.0000      1.822     3.201
20.2909      1.823     3.246
20.5860      1.825     3.292
20.8855      1.826     3.339
21.1893      1.828     3.385
21.4975      1.830     3.433
21.8102      1.832     3.481
22.1274      1.834     3.530
22.4492      1.836     3.580
22.7758      1.837     3.630
23.1071      1.840     3.681
23.4432      1.842     3.732
23.7841      1.844     3.785
24.1301      1.846     3.837
24.4811      1.848     3.891
24.8372      1.851     3.945
25.1984      1.853     4.000
25.5649      1.856     4.056
25.9368      1.858     4.112
26.3141      1.861     4.170
26.6968      1.863     4.228
27.0851      1.866     4.286
27.4791      1.869     4.346
27.8788      1.872     4.406
28.2843      1.875     4.467
28.6957      1.878     4.528
29.1131      1.881     4.591
29.5365      1.885     4.654
