Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.806     0.935
5.07273      1.806     0.948
5.14651      1.807     0.962
5.22137      1.807     0.976
5.29732      1.807     0.991
5.37437      1.807     1.005
5.45254      1.807     1.020
5.53185      1.807     1.035
5.61231      1.807     1.050
5.69394      1.807     1.065
5.77676      1.808     1.080
5.86079      1.808     1.096
5.94604      1.808     1.112
6.03252      1.808     1.128
6.12027      1.808     1.145
6.20929      1.808     1.161
6.29961      1.808     1.178
6.39124      1.809     1.196
6.48420      1.809     1.213
6.57851      1.809     1.231
6.67420      1.809     1.249
6.77128      1.809     1.267
6.86977      1.809     1.285
6.96969      1.810     1.304
7.07107      1.810     1.323
7.17392      1.810     1.342
7.27827      1.810     1.362
7.38413      1.811     1.381
7.49154      1.811     1.401
7.60050      1.811     1.422
7.71105      1.811     1.443
7.82321      1.811     1.464
7.93701      1.812     1.485
8.05245      1.812     1.506
8.16958      1.812     1.528
8.28841      1.813     1.550
8.40896      1.813     1.573
8.53128      1.813     1.596
8.65537      1.813     1.619
8.78126      1.814     1.643
8.90899      1.814     1.666
9.03857      1.814     1.691
9.17004      1.815     1.715
9.30342      1.815     1.740
9.43874      1.815     1.765
9.57603      1.816     1.791
9.71532      1.816     1.817
9.85663      1.817     1.843
10.0000      1.817     1.870
10.1455      1.817     1.897
10.2930      1.818     1.925
10.4427      1.818     1.953
10.5946      1.819     1.981
10.7487      1.819     2.010
10.9051      1.820     2.039
11.0637      1.820     2.068
11.2246      1.821     2.098
11.3879      1.821     2.129
11.5535      1.822     2.160
11.7216      1.822     2.191
11.8921      1.823     2.222
12.0650      1.823     2.255
12.2405      1.824     2.287
12.4186      1.825     2.320
12.5992      1.825     2.354
12.7825      1.826     2.388
12.9684      1.827     2.423
13.1570      1.827     2.458
13.3484      1.828     2.493
13.5426      1.829     2.529
13.7395      1.830     2.566
13.9394      1.830     2.603
14.1421      1.831     2.640
14.3478      1.832     2.678
14.5565      1.833     2.717
14.7683      1.834     2.756
14.9831      1.835     2.796
15.2010      1.835     2.836
15.4221      1.836     2.876
15.6464      1.837     2.917
15.8740      1.838     2.959
16.1049      1.839     3.001
16.3392      1.841     3.043
16.5768      1.842     3.087
16.8179      1.843     3.131
17.0626      1.844     3.175
17.3107      1.845     3.220
17.5625      1.846     3.266
17.8180      1.848     3.312
18.0771      1.849     3.359
18.3401      1.850     3.407
18.6068      1.852     3.455
18.8775      1.853     3.504
19.1521      1.854     3.554
19.4306      1.856     3.605
19.7133      1.858     3.656
20.0000      1.859     3.707
20.2909      1.861     3.760
20.5860      1.862     3.813
20.8855      1.864     3.867
21.1893      1.866     3.922
21.4975      1.868     3.977
21.8102      1.870     4.033
22.1274      1.872     4.090
22.4492      1.874     4.148
22.7758      1.876     4.206
23.1071      1.878     4.266
23.4432      1.880     4.326
23.7841      1.882     4.387
24.1301      1.884     4.449
24.4811      1.887     4.511
24.8372      1.889     4.574
25.1984      1.892     4.639
25.5649      1.894     4.704
25.9368      1.897     4.770
26.3141      1.900     4.836
26.6968      1.902     4.904
27.0851      1.905     4.973
27.4791      1.908     5.042
27.8788      1.911     5.112
28.2843      1.914     5.184
28.6957      1.918     5.256
29.1131      1.921     5.329
29.5365      1.924     5.403
29.9661      1.928     5.478
30.4020      1.931     5.554
30.8442      1.935     5.631
31.2929      1.939     5.709
31.7480      1.943     5.788
32.2098      1.947     5.868
32.6783      1.951     5.949
33.1536      1.955     6.031
33.6359      1.959     6.114
34.1251      1.964     6.197
34.6215      1.968     6.282
35.1250      1.973     6.368
35.6359      1.978     6.455
36.1543      1.983     6.543
36.6802      1.988     6.633
37.2137      1.993     6.723
37.7550      1.999     6.814
38.3041      2.004     6.906
38.8613      2.010     7.000
39.4265      2.016     7.094
40.0000      2.022     7.189
40.5818      2.028     7.286
41.1721      2.035     7.384
41.7710      2.041     7.483
42.3785      2.048     7.583
42.9949      2.055     7.683
43.6203      2.062     7.786
44.2548      2.069     7.889
44.8985      2.077     7.993
45.5515      2.084     8.098
46.2141      2.092     8.205
46.8863      2.100     8.313
47.5683      2.109     8.421
48.2602      2.117     8.531
48.9621      2.126     8.642
49.6743      2.135     8.754
50.3968      2.144     8.867
51.1299      2.153     8.981
51.8736      2.163     9.096
52.6281      2.173     9.212
53.3936      2.183     9.329
54.1702      2.194     9.448
54.9581      2.205     9.567
55.7575      2.216     9.687
56.5685      2.227     9.809
57.3914      2.239     9.931
58.2261      2.251    10.055
59.0730      2.263    10.179
59.9323      2.275    10.304
60.8040      2.288    10.430
61.6884      2.301    10.557
62.5857      2.315    10.685
63.4960      2.329    10.814
64.4196      2.343    10.944
65.3566      2.357    11.075
66.3073      2.372    11.206
67.2717      2.387    11.338
68.2502      2.403    11.471
69.2429      2.419    11.605
70.2501      2.435    11.739
71.2719      2.452    11.874
72.3086      2.469    12.009
73.3603      2.487    12.145
74.4274      2.505    12.282
75.5099      2.523    12.419
76.6083      2.542    12.556
77.7226      2.561    12.694
78.8531      2.581    12.833
80.0000      2.601    12.971
81.1636      2.622    13.110
82.3442      2.643    13.249
83.5419      2.664    13.388
84.7570      2.686    13.527
85.9899      2.709    13.667
87.2406      2.732    13.806
88.5096      2.755    13.945
89.7970      2.779    14.084
91.1031      2.804    14.223
92.4282      2.829    14.361
93.7726      2.854    14.499
95.1366      2.880    14.637
96.5204      2.907    14.774
97.9243      2.934    14.911
99.3486      2.961    15.047
100.794      2.990    15.182
102.260      3.018    15.316
103.747      3.048    15.449
105.256      3.077    15.582
106.787      3.108    15.713
108.340      3.139    15.843
