Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.606     0.581
5.07273      1.606     0.590
5.14651      1.607     0.598
5.22137      1.607     0.607
5.29732      1.607     0.616
5.37437      1.607     0.625
5.45254      1.607     0.634
5.53185      1.607     0.643
5.61231      1.607     0.653
5.69394      1.607     0.662
5.77676      1.607     0.672
5.86079      1.607     0.682
5.94604      1.607     0.692
6.03252      1.608     0.702
6.12027      1.608     0.712
6.20929      1.608     0.723
6.29961      1.608     0.733
6.39124      1.608     0.744
6.48420      1.608     0.755
6.57851      1.608     0.766
6.67420      1.608     0.777
6.77128      1.608     0.788
6.86977      1.609     0.800
6.96969      1.609     0.811
7.07107      1.609     0.823
7.17392      1.609     0.835
7.27827      1.609     0.847
7.38413      1.609     0.860
7.49154      1.609     0.872
7.60050      1.610     0.885
7.71105      1.610     0.898
7.82321      1.610     0.911
7.93701      1.610     0.924
8.05245      1.610     0.938
8.16958      1.611     0.951
8.28841      1.611     0.965
8.40896      1.611     0.979
8.53128      1.611     0.993
8.65537      1.611     1.008
8.78126      1.612     1.022
8.90899      1.612     1.037
9.03857      1.612     1.052
9.17004      1.612     1.068
9.30342      1.612     1.083
9.43874      1.613     1.099
9.57603      1.613     1.115
9.71532      1.613     1.131
9.85663      1.613     1.148
10.0000      1.614     1.164
10.1455      1.614     1.181
10.2930      1.614     1.198
10.4427      1.615     1.216
10.5946      1.615     1.233
10.7487      1.615     1.251
10.9051      1.616     1.269
11.0637      1.616     1.288
11.2246      1.616     1.306
11.3879      1.617     1.325
11.5535      1.617     1.345
11.7216      1.617     1.364
11.8921      1.618     1.384
12.0650      1.618     1.404
12.2405      1.619     1.424
12.4186      1.619     1.445
12.5992      1.620     1.466
12.7825      1.620     1.487
12.9684      1.620     1.508
13.1570      1.621     1.530
13.3484      1.621     1.552
13.5426      1.622     1.575
13.7395      1.622     1.598
13.9394      1.623     1.621
14.1421      1.624     1.644
14.3478      1.624     1.668
14.5565      1.625     1.692
14.7683      1.625     1.716
14.9831      1.626     1.741
15.2010      1.627     1.766
15.4221      1.627     1.791
15.6464      1.628     1.816
15.8740      1.629     1.842
16.1049      1.629     1.868
16.3392      1.630     1.894
16.5768      1.631     1.921
16.8179      1.632     1.948
17.0626      1.632     1.976
17.3107      1.633     2.004
17.5625      1.634     2.032
17.8180      1.635     2.061
18.0771      1.636     2.090
18.3401      1.637     2.120
18.6068      1.638     2.149
18.8775      1.639     2.180
19.1521      1.640     2.211
19.4306      1.641     2.242
19.7133      1.642     2.273
20.0000      1.643     2.305
20.2909      1.644     2.338
20.5860      1.645     2.371
20.8855      1.647     2.404
21.1893      1.648     2.438
21.4975      1.649     2.473
21.8102      1.650     2.507
22.1274      1.652     2.542
22.4492      1.653     2.578
22.7758      1.655     2.614
23.1071      1.656     2.651
23.4432      1.658     2.688
23.7841      1.659     2.726
24.1301      1.661     2.764
24.4811      1.662     2.803
24.8372      1.664     2.842
25.1984      1.666     2.882
25.5649      1.668     2.922
25.9368      1.669     2.963
26.3141      1.671     3.004
26.6968      1.673     3.046
27.0851      1.675     3.089
27.4791      1.677     3.132
27.8788      1.679     3.175
28.2843      1.682     3.219
28.6957      1.684     3.264
29.1131      1.686     3.309
29.5365      1.688     3.355
29.9661      1.691     3.402
30.4020      1.693     3.449
30.8442      1.696     3.496
31.2929      1.699     3.545
31.7480      1.701     3.593
32.2098      1.704     3.643
32.6783      1.707     3.693
33.1536      1.710     3.744
33.6359      1.713     3.795
34.1251      1.716     3.847
34.6215      1.719     3.899
35.1250      1.723     3.953
35.6359      1.726     4.007
36.1543      1.730     4.061
36.6802      1.733     4.116
37.2137      1.737     4.172
37.7550      1.741     4.229
38.3041      1.745     4.286
38.8613      1.749     4.343
39.4265      1.753     4.402
40.0000      1.757     4.461
40.5818      1.761     4.521
41.1721      1.766     4.581
41.7710      1.770     4.642
42.3785      1.775     4.704
42.9949      1.780     4.766
43.6203      1.785     4.830
44.2548      1.790     4.893
44.8985      1.795     4.958
45.5515      1.801     5.023
46.2141      1.806     5.089
46.8863      1.812     5.155
47.5683      1.818     5.223
48.2602      1.824     5.290
48.9621      1.830     5.359
49.6743      1.837     5.428
50.3968      1.843     5.498
51.1299      1.850     5.568
51.8736      1.857     5.639
52.6281      1.864     5.711
53.3936      1.871     5.783
54.1702      1.879     5.856
54.9581      1.886     5.930
55.7575      1.894     6.004
56.5685      1.902     6.079
57.3914      1.910     6.155
58.2261      1.919     6.231
59.0730      1.928     6.307
59.9323      1.937     6.384
60.8040      1.946     6.462
61.6884      1.955     6.540
62.5857      1.965     6.619
63.4960      1.975     6.698
64.4196      1.985     6.778
65.3566      1.995     6.858
66.3073      2.006     6.939
67.2717      2.017     7.020
68.2502      2.028     7.101
69.2429      2.040     7.183
70.2501      2.052     7.265
71.2719      2.064     7.347
72.3086      2.076     7.430
73.3603      2.089     7.513
74.4274      2.102     7.596
75.5099      2.115     7.680
76.6083      2.129     7.764
77.7226      2.143     7.847
78.8531      2.157     7.931
80.0000      2.172     8.015
81.1636      2.187     8.099
82.3442      2.203     8.183
83.5419      2.218     8.267
84.7570      2.235     8.351
85.9899      2.251     8.435
87.2406      2.268     8.518
88.5096      2.285     8.601
89.7970      2.303     8.684
91.1031      2.321     8.767
92.4282      2.339     8.849
93.7726      2.358     8.931
95.1366      2.378     9.012
96.5204      2.397     9.092
97.9243      2.418     9.172
99.3486      2.438     9.252
100.794      2.459     9.330
102.260      2.481     9.408
103.747      2.503     9.484
105.256      2.525     9.560
106.787      2.548     9.635
108.340      2.571     9.708
109.916      2.595     9.780
111.515      2.619     9.851
113.137      2.644     9.920
114.783      2.669     9.988
116.452      2.695    10.055
118.146      2.721    10.119
119.865      2.748    10.182
121.608      2.775    10.243
123.377      2.803    10.302
125.171      2.831    10.359
126.992      2.859    10.414
128.839      2.889    10.467
130.713      2.918    10.517
132.615      2.949    10.564
134.543      2.979    10.609
136.500      3.010    10.652
138.486      3.042    10.691
140.500      3.074    10.728
142.544      3.107    10.761
144.617      3.140    10.792
146.721      3.174    10.819
148.855      3.208    10.842
151.020      3.243    10.862
153.217      3.278    10.879
155.445      3.314    10.891
157.706      3.350    10.900
160.000      3.386    10.904
162.327      3.423    10.905
164.688      3.461    10.901
167.084      3.499    10.892
169.514      3.537    10.880
171.980      3.576    10.862
174.481      3.616    10.839
177.019      3.655    10.812
179.594      3.695    10.779
182.206      3.736    10.742
184.856      3.777    10.699
187.545      3.818    10.650
190.273      3.860    10.596
193.041      3.901    10.536
195.849      3.944    10.470
198.697      3.986    10.398
201.587      4.029    10.321
204.520      4.072    10.237
207.494      4.116    10.146
210.512      4.159    10.049
213.574      4.203     9.946
216.681      4.247     9.836
219.833      4.291     9.719
223.030      4.336     9.596
226.274      4.380     9.465
229.565      4.425     9.327
232.905      4.470     9.182
236.292      4.515     9.030
239.729      4.559     8.870
243.216      4.604     8.704
246.754      4.649     8.529
250.343      4.694     8.347
253.984      4.739     8.157
257.678      4.783     7.960
261.426      4.828     7.755
265.229      4.872     7.542
269.087      4.917     7.322
273.001      4.961     7.093
276.972      5.005     6.857
281.000      5.048     6.612
285.088      5.091     6.360
289.234      5.134     6.100
293.441      5.177     5.832
297.709      5.219     5.556
302.040      5.261     5.272
306.433      5.303     4.980
310.890      5.344     4.681
315.412      5.384     4.374
320.000      5.424     4.059
324.655      5.463     3.736
329.377      5.502     3.405
334.168      5.540     3.068
339.028      5.578     2.722
343.959      5.615     2.370
348.962      5.651     2.010
354.038      5.686     1.643
359.188      5.721     1.270
364.412      5.755     0.889
369.713      5.788     0.502
375.090      5.820     0.108
380.546      5.852    -0.292
386.081      5.883    -0.698
391.697      5.912    -1.110
397.394      5.941    -1.528
403.175      5.969    -1.952
409.039      5.997    -2.381
414.989      6.023    -2.815
421.025      6.048    -3.254
427.149      6.073    -3.698
433.362      6.097    -4.147
439.665      6.119    -4.600
446.060      6.141    -5.056
452.548      6.162    -5.518
459.131      6.182    -5.983
