Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.470     0.423
5.07273      1.470     0.429
5.14651      1.470     0.436
5.22137      1.470     0.442
5.29732      1.470     0.448
5.37437      1.470     0.455
5.45254      1.470     0.462
5.53185      1.470     0.468
5.61231      1.470     0.475
5.69394      1.470     0.482
5.77676      1.470     0.489
5.86079      1.470     0.496
5.94604      1.471     0.504
6.03252      1.471     0.511
6.12027      1.471     0.518
6.20929      1.471     0.526
6.29961      1.471     0.534
6.39124      1.471     0.541
6.48420      1.471     0.549
6.57851      1.471     0.557
6.67420      1.471     0.566
6.77128      1.471     0.574
6.86977      1.472     0.582
6.96969      1.472     0.591
7.07107      1.472     0.599
7.17392      1.472     0.608
7.27827      1.472     0.617
7.38413      1.472     0.626
7.49154      1.472     0.635
7.60050      1.472     0.644
7.71105      1.473     0.654
7.82321      1.473     0.663
7.93701      1.473     0.673
8.05245      1.473     0.683
8.16958      1.473     0.693
8.28841      1.473     0.703
8.40896      1.473     0.713
8.53128      1.474     0.723
8.65537      1.474     0.734
8.78126      1.474     0.745
8.90899      1.474     0.755
9.03857      1.474     0.766
9.17004      1.475     0.778
9.30342      1.475     0.789
9.43874      1.475     0.800
9.57603      1.475     0.812
9.71532      1.475     0.824
9.85663      1.476     0.836
10.0000      1.476     0.848
10.1455      1.476     0.860
10.2930      1.476     0.873
10.4427      1.477     0.885
10.5946      1.477     0.898
10.7487      1.477     0.911
10.9051      1.477     0.924
11.0637      1.478     0.938
11.2246      1.478     0.952
11.3879      1.478     0.965
11.5535      1.479     0.979
11.7216      1.479     0.994
11.8921      1.479     1.008
12.0650      1.480     1.023
12.2405      1.480     1.037
12.4186      1.480     1.052
12.5992      1.481     1.068
12.7825      1.481     1.083
12.9684      1.481     1.099
13.1570      1.482     1.115
13.3484      1.482     1.131
13.5426      1.483     1.147
13.7395      1.483     1.164
13.9394      1.483     1.181
14.1421      1.484     1.198
14.3478      1.484     1.215
14.5565      1.485     1.232
14.7683      1.485     1.250
14.9831      1.486     1.268
15.2010      1.486     1.286
15.4221      1.487     1.304
15.6464      1.488     1.323
15.8740      1.488     1.341
16.1049      1.489     1.360
16.3392      1.489     1.379
16.5768      1.490     1.399
16.8179      1.491     1.418
17.0626      1.491     1.438
17.3107      1.492     1.458
17.5625      1.493     1.479
17.8180      1.493     1.500
18.0771      1.494     1.521
18.3401      1.495     1.542
18.6068      1.496     1.564
18.8775      1.497     1.586
19.1521      1.497     1.608
19.4306      1.498     1.630
19.7133      1.499     1.653
20.0000      1.500     1.676
20.2909      1.501     1.700
20.5860      1.502     1.724
20.8855      1.503     1.748
21.1893      1.504     1.772
21.4975      1.505     1.797
21.8102      1.506     1.822
22.1274      1.507     1.848
22.4492      1.508     1.873
22.7758      1.510     1.900
23.1071      1.511     1.926
23.4432      1.512     1.953
23.7841      1.513     1.980
24.1301      1.515     2.008
24.4811      1.516     2.036
24.8372      1.517     2.064
25.1984      1.519     2.093
25.5649      1.520     2.122
25.9368      1.522     2.151
26.3141      1.523     2.181
26.6968      1.525     2.211
27.0851      1.527     2.242
27.4791      1.528     2.273
27.8788      1.530     2.304
28.2843      1.532     2.336
28.6957      1.534     2.368
29.1131      1.536     2.401
29.5365      1.538     2.434
29.9661      1.540     2.468
30.4020      1.542     2.501
30.8442      1.544     2.536
31.2929      1.546     2.570
31.7480      1.548     2.606
32.2098      1.551     2.641
32.6783      1.553     2.677
33.1536      1.555     2.714
33.6359      1.558     2.751
34.1251      1.561     2.788
34.6215      1.563     2.826
35.1250      1.566     2.864
35.6359      1.569     2.903
36.1543      1.572     2.942
36.6802      1.575     2.982
37.2137      1.578     3.022
37.7550      1.581     3.062
38.3041      1.584     3.103
38.8613      1.588     3.145
39.4265      1.591     3.187
40.0000      1.595     3.229
40.5818      1.598     3.272
41.1721      1.602     3.315
41.7710      1.606     3.359
42.3785      1.610     3.403
42.9949      1.614     3.448
43.6203      1.618     3.493
44.2548      1.622     3.539
44.8985      1.627     3.585
45.5515      1.631     3.631
46.2141      1.636     3.679
46.8863      1.640     3.726
47.5683      1.645     3.774
48.2602      1.650     3.822
48.9621      1.656     3.871
49.6743      1.661     3.920
50.3968      1.666     3.970
51.1299      1.672     4.020
51.8736      1.678     4.071
52.6281      1.684     4.122
53.3936      1.690     4.173
54.1702      1.696     4.225
54.9581      1.702     4.277
55.7575      1.709     4.330
