Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.803     0.933
5.07273      1.803     0.947
5.14651      1.803     0.961
5.22137      1.803     0.975
5.29732      1.804     0.989
5.37437      1.804     1.003
5.45254      1.804     1.018
5.53185      1.804     1.033
5.61231      1.804     1.048
5.69394      1.804     1.063
5.77676      1.804     1.079
5.86079      1.804     1.094
5.94604      1.805     1.110
6.03252      1.805     1.126
6.12027      1.805     1.143
6.20929      1.805     1.159
6.29961      1.805     1.176
6.39124      1.805     1.193
6.48420      1.806     1.211
6.57851      1.806     1.228
6.67420      1.806     1.246
6.77128      1.806     1.265
6.86977      1.806     1.283
6.96969      1.806     1.302
7.07107      1.807     1.321
7.17392      1.807     1.340
7.27827      1.807     1.359
7.38413      1.807     1.379
7.49154      1.808     1.399
7.60050      1.808     1.419
7.71105      1.808     1.440
7.82321      1.808     1.461
7.93701      1.809     1.482
8.05245      1.809     1.504
8.16958      1.809     1.526
8.28841      1.809     1.548
8.40896      1.810     1.570
8.53128      1.810     1.593
8.65537      1.810     1.616
8.78126      1.811     1.640
8.90899      1.811     1.664
9.03857      1.811     1.688
9.17004      1.812     1.712
9.30342      1.812     1.737
9.43874      1.812     1.762
9.57603      1.813     1.788
9.71532      1.813     1.814
9.85663      1.813     1.840
10.0000      1.814     1.867
10.1455      1.814     1.894
10.2930      1.815     1.921
10.4427      1.815     1.949
10.5946      1.816     1.977
10.7487      1.816     2.006
10.9051      1.816     2.035
11.0637      1.817     2.065
11.2246      1.818     2.095
11.3879      1.818     2.125
11.5535      1.819     2.156
11.7216      1.819     2.187
11.8921      1.820     2.219
12.0650      1.820     2.251
12.2405      1.821     2.283
12.4186      1.822     2.316
12.5992      1.822     2.350
12.7825      1.823     2.384
12.9684      1.823     2.418
13.1570      1.824     2.453
13.3484      1.825     2.489
13.5426      1.826     2.525
13.7395      1.826     2.561
13.9394      1.827     2.598
14.1421      1.828     2.635
14.3478      1.829     2.674
14.5565      1.830     2.712
14.7683      1.831     2.751
14.9831      1.831     2.791
15.2010      1.832     2.831
15.4221      1.833     2.871
15.6464      1.834     2.912
15.8740      1.835     2.953
16.1049      1.836     2.995
16.3392      1.837     3.038
16.5768      1.839     3.081
16.8179      1.840     3.125
17.0626      1.841     3.169
17.3107      1.842     3.214
17.5625      1.843     3.260
17.8180      1.845     3.306
18.0771      1.846     3.353
18.3401      1.847     3.401
18.6068      1.849     3.449
18.8775      1.850     3.498
19.1521      1.851     3.548
19.4306      1.853     3.598
19.7133      1.854     3.649
20.0000      1.856     3.700
20.2909      1.858     3.753
20.5860      1.859     3.806
20.8855      1.861     3.860
21.1893      1.863     3.914
21.4975      1.865     3.970
21.8102      1.867     4.026
22.1274      1.869     4.082
22.4492      1.871     4.140
22.7758      1.873     4.198
23.1071      1.875     4.258
23.4432      1.877     4.318
23.7841      1.879     4.378
24.1301      1.881     4.440
24.4811      1.884     4.502
24.8372      1.886     4.565
25.1984      1.889     4.629
25.5649      1.891     4.694
25.9368      1.894     4.760
26.3141      1.897     4.827
26.6968      1.899     4.894
27.0851      1.902     4.963
27.4791      1.905     5.032
27.8788      1.908     5.102
28.2843      1.911     5.173
28.6957      1.915     5.245
29.1131      1.918     5.318
29.5365      1.921     5.392
29.9661      1.925     5.467
30.4020      1.928     5.543
30.8442      1.932     5.619
31.2929      1.936     5.697
31.7480      1.940     5.776
32.2098      1.944     5.855
32.6783      1.948     5.936
33.1536      1.952     6.018
33.6359      1.957     6.100
34.1251      1.961     6.184
34.6215      1.966     6.269
35.1250      1.970     6.354
35.6359      1.975     6.441
36.1543      1.980     6.529
36.6802      1.985     6.618
37.2137      1.991     6.707
37.7550      1.996     6.798
38.3041      2.002     6.890
38.8613      2.007     6.983
39.4265      2.013     7.077
40.0000      2.019     7.173
40.5818      2.026     7.269
41.1721      2.032     7.366
41.7710      2.038     7.465
42.3785      2.045     7.564
42.9949      2.052     7.665
43.6203      2.059     7.766
44.2548      2.067     7.869
44.8985      2.074     7.973
45.5515      2.082     8.078
46.2141      2.090     8.184
46.8863      2.098     8.291
47.5683      2.106     8.399
48.2602      2.115     8.508
48.9621      2.123     8.619
49.6743      2.132     8.730
50.3968      2.142     8.843
51.1299      2.151     8.956
51.8736      2.161     9.071
52.6281      2.171     9.186
53.3936      2.181     9.303
54.1702      2.191     9.421
54.9581      2.202     9.539
55.7575      2.213     9.659
56.5685      2.225     9.780
