Freq[Hz]     dBSPL  Phase[Deg]
5.00000      0.450    -0.196
5.07273      0.450    -0.199
5.14651      0.450    -0.202
5.22137      0.450    -0.205
5.29732      0.450    -0.208
5.37437      0.450    -0.211
5.45254      0.450    -0.214
5.53185      0.450    -0.217
5.61231      0.450    -0.220
5.69394      0.450    -0.223
5.77676      0.450    -0.227
5.86079      0.450    -0.230
5.94604      0.451    -0.233
6.03252      0.451    -0.236
6.12027      0.451    -0.240
6.20929      0.451    -0.243
6.29961      0.451    -0.247
6.39124      0.451    -0.250
6.48420      0.451    -0.254
6.57851      0.451    -0.258
6.67420      0.451    -0.261
6.77128      0.451    -0.265
6.86977      0.451    -0.269
6.96969      0.451    -0.273
7.07107      0.451    -0.277
7.17392      0.451    -0.281
7.27827      0.451    -0.285
7.38413      0.451    -0.289
7.49154      0.451    -0.293
7.60050      0.451    -0.297
7.71105      0.451    -0.302
7.82321      0.451    -0.306
7.93701      0.451    -0.311
8.05245      0.451    -0.315
8.16958      0.451    -0.320
8.28841      0.451    -0.324
8.40896      0.451    -0.329
8.53128      0.451    -0.334
8.65537      0.452    -0.338
8.78126      0.452    -0.343
8.90899      0.452    -0.348
9.03857      0.452    -0.353
9.17004      0.452    -0.359
9.30342      0.452    -0.364
9.43874      0.452    -0.369
9.57603      0.452    -0.374
9.71532      0.452    -0.380
9.85663      0.452    -0.385
10.0000      0.452    -0.391
10.1455      0.452    -0.397
10.2930      0.452    -0.402
10.4427      0.452    -0.408
10.5946      0.453    -0.414
10.7487      0.453    -0.420
10.9051      0.453    -0.426
11.0637      0.453    -0.432
11.2246      0.453    -0.439
11.3879      0.453    -0.445
11.5535      0.453    -0.451
11.7216      0.453    -0.458
11.8921      0.453    -0.465
12.0650      0.453    -0.471
12.2405      0.453    -0.478
12.4186      0.454    -0.485
12.5992      0.454    -0.492
12.7825      0.454    -0.499
12.9684      0.454    -0.507
13.1570      0.454    -0.514
13.3484      0.454    -0.522
13.5426      0.454    -0.529
13.7395      0.454    -0.537
13.9394      0.455    -0.545
14.1421      0.455    -0.553
14.3478      0.455    -0.561
14.5565      0.455    -0.569
14.7683      0.455    -0.577
14.9831      0.455    -0.585
15.2010      0.456    -0.594
15.4221      0.456    -0.603
15.6464      0.456    -0.613
15.8740      0.456    -0.622
16.1049      0.456    -0.631
16.3392      0.457    -0.641
16.5768      0.457    -0.651
16.8179      0.457    -0.660
17.0626      0.457    -0.670
17.3107      0.457    -0.681
17.5625      0.458    -0.691
17.8180      0.458    -0.701
18.0771      0.458    -0.712
18.3401      0.458    -0.723
18.6068      0.459    -0.734
18.8775      0.459    -0.745
19.1521      0.459    -0.756
19.4306      0.459    -0.767
19.7133      0.460    -0.779
20.0000      0.460    -0.791
20.2909      0.460    -0.803
20.5860      0.461    -0.815
20.8855      0.461    -0.827
21.1893      0.461    -0.840
21.4975      0.462    -0.853
21.8102      0.462    -0.865
22.1274      0.462    -0.879
22.4492      0.463    -0.892
22.7758      0.463    -0.905
23.1071      0.463    -0.919
23.4432      0.464    -0.933
23.7841      0.464    -0.947
24.1301      0.465    -0.961
24.4811      0.465    -0.976
24.8372      0.465    -0.991
25.1984      0.466    -1.006
25.5649      0.466    -1.021
25.9368      0.467    -1.036
26.3141      0.467    -1.052
26.6968      0.468    -1.068
27.0851      0.468    -1.084
27.4791      0.469    -1.101
27.8788      0.470    -1.117
28.2843      0.470    -1.134
28.6957      0.471    -1.152
29.1131      0.471    -1.169
29.5365      0.472    -1.187
29.9661      0.473    -1.205
30.4020      0.473    -1.223
30.8442      0.474    -1.242
31.2929      0.475    -1.261
31.7480      0.475    -1.280
32.2098      0.476    -1.299
32.6783      0.477    -1.319
33.1536      0.478    -1.339
33.6359      0.479    -1.360
34.1251      0.479    -1.381
34.6215      0.480    -1.402
35.1250      0.481    -1.423
35.6359      0.482    -1.445
36.1543      0.483    -1.467
36.6802      0.484    -1.490
37.2137      0.485    -1.512
37.7550      0.486    -1.536
38.3041      0.487    -1.559
38.8613      0.488    -1.583
39.4265      0.489    -1.608
40.0000      0.490    -1.633
40.5818      0.491    -1.658
41.1721      0.493    -1.683
41.7710      0.494    -1.709
42.3785      0.495    -1.736
42.9949      0.497    -1.763
43.6203      0.498    -1.790
44.2548      0.499    -1.818
44.8985      0.501    -1.846
45.5515      0.502    -1.875
46.2141      0.504    -1.904
46.8863      0.505    -1.934
47.5683      0.507    -1.964
48.2602      0.508    -1.995
48.9621      0.510    -2.026
49.6743      0.512    -2.058
50.3968      0.514    -2.091
51.1299      0.515    -2.124
51.8736      0.517    -2.157
52.6281      0.519    -2.191
53.3936      0.521    -2.226
54.1702      0.523    -2.261
54.9581      0.525    -2.297
55.7575      0.527    -2.334
56.5685      0.530    -2.371
57.3914      0.532    -2.409
58.2261      0.534    -2.448
59.0730      0.537    -2.487
59.9323      0.539    -2.527
60.8040      0.542    -2.568
61.6884      0.544    -2.610
62.5857      0.547    -2.652
63.4960      0.549    -2.695
64.4196      0.552    -2.739
65.3566      0.555    -2.784
66.3073      0.558    -2.829
67.2717      0.561    -2.876
68.2502      0.564    -2.923
69.2429      0.567    -2.971
70.2501      0.571    -3.020
71.2719      0.574    -3.070
72.3086      0.577    -3.121
73.3603      0.581    -3.173
74.4274      0.585    -3.226
75.5099      0.588    -3.281
76.6083      0.592    -3.336
77.7226      0.596    -3.392
78.8531      0.600    -3.449
80.0000      0.604    -3.508
81.1636      0.608    -3.568
82.3442      0.613    -3.629
83.5419      0.617    -3.691
84.7570      0.622    -3.754
85.9899      0.626    -3.819
87.2406      0.631    -3.885
88.5096      0.636    -3.953
89.7970      0.641    -4.022
91.1031      0.646    -4.092
92.4282      0.651    -4.164
93.7726      0.657    -4.238
95.1366      0.662    -4.313
96.5204      0.668    -4.389
97.9243      0.674    -4.467
99.3486      0.679    -4.547
100.794      0.686    -4.629
102.260      0.692    -4.713
103.747      0.698    -4.798
105.256      0.704    -4.885
106.787      0.711    -4.974
108.340      0.718    -5.065
109.916      0.725    -5.159
111.515      0.732    -5.254
113.137      0.739    -5.351
114.783      0.746    -5.451
116.452      0.754    -5.553
118.146      0.761    -5.657
119.865      0.769    -5.763
121.608      0.777    -5.873
123.377      0.785    -5.984
125.171      0.794    -6.098
126.992      0.802    -6.215
128.839      0.811    -6.334
130.713      0.819    -6.457
132.615      0.828    -6.582
134.543      0.837    -6.710
136.500      0.847    -6.841
138.486      0.856    -6.976
140.500      0.866    -7.113
142.544      0.875    -7.254
144.617      0.885    -7.398
146.721      0.895    -7.545
148.855      0.906    -7.696
151.020      0.916    -7.851
153.217      0.926    -8.009
155.445      0.937    -8.171
157.706      0.948    -8.337
160.000      0.959    -8.507
162.327      0.970    -8.681
164.688      0.981    -8.859
167.084      0.993    -9.042
169.514      1.004    -9.228
171.980      1.016    -9.419
174.481      1.028    -9.615
177.019      1.040    -9.816
179.594      1.052   -10.021
182.206      1.064   -10.231
184.856      1.076   -10.447
187.545      1.088   -10.667
190.273      1.101   -10.892
193.041      1.113   -11.123
195.849      1.126   -11.360
198.697      1.138   -11.601
201.587      1.151   -11.849
204.520      1.164   -12.102
207.494      1.176   -12.361
210.512      1.189   -12.626
213.574      1.202   -12.898
216.681      1.214   -13.175
219.833      1.227   -13.459
223.030      1.239   -13.749
226.274      1.252   -14.046
229.565      1.264   -14.349
232.905      1.277   -14.659
236.292      1.289   -14.976
239.729      1.301   -15.300
243.216      1.313   -15.631
246.754      1.325   -15.969
250.343      1.336   -16.314
253.984      1.348   -16.667
257.678      1.359   -17.027
261.426      1.370   -17.395
265.229      1.380   -17.770
269.087      1.391   -18.152
273.001      1.401   -18.543
276.972      1.410   -18.941
281.000      1.419   -19.347
285.088      1.428   -19.761
289.234      1.437   -20.183
293.441      1.445   -20.612
297.709      1.452   -21.050
302.040      1.459   -21.496
306.433      1.465   -21.950
310.890      1.471   -22.412
315.412      1.476   -22.882
320.000      1.481   -23.360
324.655      1.485   -23.846
329.377      1.488   -24.340
334.168      1.491   -24.842
339.028      1.493   -25.352
343.959      1.494   -25.870
348.962      1.494   -26.396
354.038      1.493   -26.929
359.188      1.492   -27.470
364.412      1.489   -28.019
369.713      1.486   -28.575
375.090      1.482   -29.138
380.546      1.476   -29.709
386.081      1.470   -30.287
391.697      1.463   -30.872
397.394      1.455   -31.463
403.175      1.445   -32.062
409.039      1.435   -32.666
414.989      1.423   -33.277
421.025      1.411   -33.894
427.149      1.397   -34.517
433.362      1.382   -35.145
439.665      1.366   -35.779
446.060      1.349   -36.418
452.548      1.331   -37.062
459.131      1.311   -37.712
465.809      1.291   -38.365
472.584      1.269   -39.023
479.458      1.246   -39.685
486.432      1.222   -40.350
493.507      1.197   -41.020
500.686      1.171   -41.693
507.968      1.144   -42.370
515.357      1.116   -43.049
522.853      1.087   -43.731
530.458      1.057   -44.416
538.174      1.025   -45.104
546.002      0.994   -45.794
553.943      0.961   -46.486
562.001      0.927   -47.180
570.175      0.893   -47.877
578.469      0.858   -48.577
586.883      0.823   -49.278
595.419      0.786   -49.982
604.080      0.750   -50.688
612.866      0.712   -51.396
621.780      0.675   -52.107
630.824      0.637   -52.821
640.000      0.599   -53.537
649.309      0.560   -54.257
658.753      0.521   -54.980
668.335      0.482   -55.706
678.056      0.443   -56.437
687.919      0.404   -57.173
697.925      0.365   -57.912
708.077      0.326   -58.657
718.376      0.287   -59.407
728.825      0.249   -60.164
739.426      0.210   -60.927
750.181      0.172   -61.698
761.093      0.134   -62.475
772.163      0.096   -63.261
783.394      0.059   -64.057
