Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.788     0.871
5.07273      1.788     0.884
5.14651      1.788     0.896
5.22137      1.788     0.909
5.29732      1.788     0.923
5.37437      1.788     0.936
5.45254      1.788     0.950
5.53185      1.788     0.964
5.61231      1.789     0.978
5.69394      1.789     0.992
5.77676      1.789     1.006
5.86079      1.789     1.021
5.94604      1.789     1.036
6.03252      1.789     1.051
6.12027      1.789     1.066
6.20929      1.790     1.082
6.29961      1.790     1.098
6.39124      1.790     1.114
6.48420      1.790     1.130
6.57851      1.790     1.146
6.67420      1.790     1.163
6.77128      1.790     1.180
6.86977      1.791     1.197
6.96969      1.791     1.215
7.07107      1.791     1.232
7.17392      1.791     1.250
7.27827      1.791     1.268
7.38413      1.792     1.287
7.49154      1.792     1.306
7.60050      1.792     1.325
7.71105      1.792     1.344
7.82321      1.793     1.363
7.93701      1.793     1.383
8.05245      1.793     1.403
8.16958      1.793     1.424
8.28841      1.794     1.444
8.40896      1.794     1.465
8.53128      1.794     1.487
8.65537      1.794     1.508
8.78126      1.795     1.530
8.90899      1.795     1.553
9.03857      1.795     1.575
9.17004      1.796     1.598
9.30342      1.796     1.621
9.43874      1.796     1.645
9.57603      1.797     1.669
9.71532      1.797     1.693
9.85663      1.797     1.717
10.0000      1.798     1.742
10.1455      1.798     1.768
10.2930      1.798     1.793
10.4427      1.799     1.819
10.5946      1.799     1.846
10.7487      1.800     1.872
10.9051      1.800     1.900
11.0637      1.801     1.927
11.2246      1.801     1.955
11.3879      1.802     1.983
11.5535      1.802     2.012
11.7216      1.803     2.041
11.8921      1.803     2.071
12.0650      1.804     2.101
12.2405      1.804     2.131
12.4186      1.805     2.162
12.5992      1.805     2.193
12.7825      1.806     2.225
12.9684      1.807     2.257
13.1570      1.807     2.290
13.3484      1.808     2.323
13.5426      1.809     2.356
13.7395      1.809     2.391
13.9394      1.810     2.425
14.1421      1.811     2.460
14.3478      1.812     2.496
14.5565      1.812     2.532
14.7683      1.813     2.568
14.9831      1.814     2.605
15.2010      1.815     2.642
15.4221      1.816     2.680
15.6464      1.817     2.718
15.8740      1.818     2.757
16.1049      1.819     2.796
16.3392      1.820     2.836
16.5768      1.821     2.876
16.8179      1.822     2.917
17.0626      1.823     2.958
17.3107      1.824     3.000
17.5625      1.825     3.043
17.8180      1.826     3.086
18.0771      1.828     3.130
18.3401      1.829     3.175
18.6068      1.830     3.220
18.8775      1.831     3.265
19.1521      1.833     3.312
19.4306      1.834     3.359
19.7133      1.836     3.406
20.0000      1.837     3.454
20.2909      1.839     3.503
20.5860      1.840     3.553
20.8855      1.842     3.603
21.1893      1.843     3.654
21.4975      1.845     3.706
21.8102      1.847     3.758
22.1274      1.849     3.811
22.4492      1.851     3.865
22.7758      1.853     3.920
23.1071      1.855     3.975
23.4432      1.857     4.031
23.7841      1.859     4.088
24.1301      1.861     4.145
24.4811      1.863     4.203
24.8372      1.865     4.262
25.1984      1.868     4.322
25.5649      1.870     4.383
25.9368      1.872     4.444
26.3141      1.875     4.507
26.6968      1.878     4.570
27.0851      1.880     4.634
27.4791      1.883     4.699
27.8788      1.886     4.764
28.2843      1.889     4.831
28.6957      1.892     4.898
29.1131      1.895     4.966
29.5365      1.898     5.035
29.9661      1.901     5.105
30.4020      1.905     5.176
30.8442      1.908     5.248
31.2929      1.912     5.321
31.7480      1.915     5.394
32.2098      1.919     5.469
32.6783      1.923     5.544
33.1536      1.927     5.621
33.6359      1.931     5.698
34.1251      1.935     5.776
34.6215      1.940     5.856
35.1250      1.944     5.936
35.6359      1.949     6.017
36.1543      1.953     6.099
36.6802      1.958     6.183
37.2137      1.963     6.267
37.7550      1.968     6.352
38.3041      1.973     6.438
38.8613      1.979     6.525
39.4265      1.984     6.614
40.0000      1.990     6.703
40.5818      1.996     6.793
41.1721      2.002     6.885
41.7710      2.008     6.977
42.3785      2.014     7.070
42.9949      2.021     7.165
43.6203      2.027     7.260
44.2548      2.034     7.356
44.8985      2.041     7.454
45.5515      2.048     7.553
46.2141      2.056     7.652
46.8863      2.063     7.753
47.5683      2.071     7.854
48.2602      2.079     7.957
48.9621      2.088     8.061
49.6743      2.096     8.165
50.3968      2.105     8.271
51.1299      2.114     8.378
51.8736      2.123     8.486
52.6281      2.132     8.595
53.3936      2.142     8.704
54.1702      2.152     8.815
54.9581      2.162     8.927
55.7575      2.172     9.040
56.5685      2.183     9.154
57.3914      2.194     9.268
58.2261      2.205     9.384
59.0730      2.217     9.500
59.9323      2.229     9.618
60.8040      2.241     9.736
61.6884      2.253     9.856
62.5857      2.266     9.976
