Freq[Hz]     dBSPL  Phase[Deg]
5.00000      0.812    -0.034
5.07273      0.812    -0.034
5.14651      0.812    -0.035
5.22137      0.812    -0.035
5.29732      0.812    -0.036
5.37437      0.812    -0.036
5.45254      0.812    -0.037
5.53185      0.812    -0.037
5.61231      0.812    -0.038
5.69394      0.812    -0.038
5.77676      0.812    -0.039
5.86079      0.812    -0.039
5.94604      0.812    -0.040
6.03252      0.812    -0.040
6.12027      0.812    -0.041
6.20929      0.812    -0.042
6.29961      0.812    -0.042
6.39124      0.813    -0.043
6.48420      0.813    -0.043
6.57851      0.813    -0.044
6.67420      0.813    -0.045
6.77128      0.813    -0.045
6.86977      0.813    -0.046
6.96969      0.813    -0.046
7.07107      0.813    -0.047
7.17392      0.813    -0.048
7.27827      0.813    -0.048
7.38413      0.813    -0.049
7.49154      0.813    -0.050
7.60050      0.813    -0.051
7.71105      0.813    -0.051
7.82321      0.814    -0.052
7.93701      0.814    -0.053
8.05245      0.814    -0.053
8.16958      0.814    -0.054
8.28841      0.814    -0.055
8.40896      0.814    -0.056
8.53128      0.814    -0.057
8.65537      0.814    -0.057
8.78126      0.814    -0.058
8.90899      0.814    -0.059
9.03857      0.815    -0.060
9.17004      0.815    -0.061
9.30342      0.815    -0.062
9.43874      0.815    -0.063
9.57603      0.815    -0.063
9.71532      0.815    -0.064
9.85663      0.815    -0.065
10.0000      0.815    -0.066
10.1455      0.816    -0.067
10.2930      0.816    -0.068
10.4427      0.816    -0.069
10.5946      0.816    -0.070
10.7487      0.816    -0.071
10.9051      0.816    -0.072
11.0637      0.817    -0.073
11.2246      0.817    -0.074
11.3879      0.817    -0.075
11.5535      0.817    -0.077
11.7216      0.817    -0.078
11.8921      0.818    -0.079
12.0650      0.818    -0.080
12.2405      0.818    -0.081
12.4186      0.818    -0.082
12.5992      0.818    -0.084
12.7825      0.819    -0.085
12.9684      0.819    -0.086
13.1570      0.819    -0.087
13.3484      0.819    -0.089
13.5426      0.820    -0.090
13.7395      0.820    -0.091
13.9394      0.820    -0.093
14.1421      0.820    -0.094
14.3478      0.821    -0.096
14.5565      0.821    -0.097
14.7683      0.821    -0.099
14.9831      0.822    -0.100
15.2010      0.822    -0.102
15.4221      0.822    -0.104
15.6464      0.823    -0.106
15.8740      0.823    -0.108
16.1049      0.823    -0.110
16.3392      0.824    -0.112
16.5768      0.824    -0.114
16.8179      0.825    -0.116
17.0626      0.825    -0.119
17.3107      0.825    -0.121
17.5625      0.826    -0.123
17.8180      0.826    -0.126
18.0771      0.827    -0.128
18.3401      0.827    -0.130
18.6068      0.828    -0.133
18.8775      0.828    -0.135
19.1521      0.829    -0.138
19.4306      0.829    -0.141
19.7133      0.830    -0.143
20.0000      0.830    -0.146
20.2909      0.831    -0.149
20.5860      0.831    -0.152
20.8855      0.832    -0.155
21.1893      0.833    -0.157
21.4975      0.833    -0.160
21.8102      0.834    -0.164
22.1274      0.835    -0.167
22.4492      0.835    -0.170
22.7758      0.836    -0.173
23.1071      0.837    -0.176
23.4432      0.838    -0.180
23.7841      0.838    -0.183
24.1301      0.839    -0.187
24.4811      0.840    -0.190
24.8372      0.841    -0.194
25.1984      0.842    -0.198
25.5649      0.843    -0.201
25.9368      0.844    -0.205
26.3141      0.845    -0.209
26.6968      0.846    -0.213
27.0851      0.847    -0.218
27.4791      0.848    -0.222
27.8788      0.849    -0.226
28.2843      0.850    -0.231
28.6957      0.851    -0.235
29.1131      0.852    -0.240
29.5365      0.853    -0.244
29.9661      0.855    -0.249
30.4020      0.856    -0.254
30.8442      0.857    -0.259
31.2929      0.858    -0.265
31.7480      0.860    -0.270
32.2098      0.861    -0.275
32.6783      0.863    -0.281
33.1536      0.864    -0.287
33.6359      0.866    -0.292
34.1251      0.867    -0.298
34.6215      0.869    -0.305
35.1250      0.871    -0.311
35.6359      0.872    -0.317
36.1543      0.874    -0.324
36.6802      0.876    -0.331
37.2137      0.878    -0.338
37.7550      0.880    -0.345
38.3041      0.882    -0.352
38.8613      0.884    -0.360
39.4265      0.886    -0.367
40.0000      0.888    -0.375
