Freq[Hz]      Mag   Phase[Deg]
177.019     12.399     0.000
179.594     12.419     0.000
182.206     12.440     0.000
184.856     12.461     0.000
187.545     12.481     0.000
190.273     12.503     0.000
193.041     12.524     0.000
195.849     12.545     0.000
198.697     12.567     0.000
201.587     12.588     0.000
204.520     12.610     0.000
207.494     12.632     0.000
210.512     12.654     0.000
213.574     12.677     0.000
216.681     12.699     0.000
219.833     12.721     0.000
223.030     12.744     0.000
226.274     12.766     0.000
229.565     12.789     0.000
232.905     12.812     0.000
236.292     12.834     0.000
239.729     12.857     0.000
243.216     12.879     0.000
246.754     12.902     0.000
250.343     12.924     0.000
253.984     12.946     0.000
257.678     12.968     0.000
261.426     12.990     0.000
265.229     13.012     0.000
269.087     13.033     0.000
273.001     13.055     0.000
276.972     13.076     0.000
281.000     13.096     0.000
285.088     13.117     0.000
289.234     13.137     0.000
293.441     13.156     0.000
297.709     13.176     0.000
302.040     13.195     0.000
306.433     13.213     0.000
310.890     13.231     0.000
315.412     13.248     0.000
320.000     13.265     0.000
324.655     13.281     0.000
329.377     13.297     0.000
334.168     13.312     0.000
339.028     13.326     0.000
343.959     13.340     0.000
348.962     13.353     0.000
354.038     13.365     0.000
359.188     13.377     0.000
364.412     13.387     0.000
369.713     13.397     0.000
375.090     13.406     0.000
380.546     13.414     0.000
386.081     13.421     0.000
391.697     13.427     0.000
397.394     13.432     0.000
403.175     13.436     0.000
409.039     13.440     0.000
414.989     13.442     0.000
421.025     13.443     0.000
427.149     13.444     0.000
433.362     13.443     0.000
439.665     13.441     0.000
446.060     13.438     0.000
452.548     13.435     0.000
459.131     13.430     0.000
465.809     13.424     0.000
472.584     13.417     0.000
479.458     13.410     0.000
486.432     13.401     0.000
493.507     13.391     0.000
500.686     13.381     0.000
507.968     13.369     0.000
515.357     13.357     0.000
522.853     13.344     0.000
530.458     13.330     0.000
538.174     13.316     0.000
546.002     13.300     0.000
553.943     13.284     0.000
562.001     13.268     0.000
570.175     13.251     0.000
578.469     13.233     0.000
586.883     13.215     0.000
595.419     13.197     0.000
604.080     13.178     0.000
612.866     13.159     0.000
621.780     13.139     0.000
630.824     13.119     0.000
640.000     13.099     0.000
649.309     13.079     0.000
658.753     13.058     0.000
668.335     13.038     0.000
678.056     13.017     0.000
687.919     12.995     0.000
697.925     12.974     0.000
708.077     12.952     0.000
718.376     12.930     0.000
728.825     12.907     0.000
739.426     12.884     0.000
750.181     12.860     0.000
761.093     12.836     0.000
772.163     12.811     0.000
783.394     12.785     0.000
794.789     12.758     0.000
806.349     12.730     0.000
818.078     12.701     0.000
829.977     12.671     0.000
842.050     12.640     0.000
854.298     12.607     0.000
866.724     12.572     0.000
879.330     12.536     0.000
892.120     12.498     0.000
905.097     12.459     0.000
918.262     12.417     0.000
931.618     12.374     0.000
945.169     12.329     0.000
958.917     12.283     0.000
972.864     12.234     0.000
987.015     12.184     0.000
1001.37     12.132     0.000
1015.94     12.079     0.000
1030.71     12.024     0.000
1045.71     11.967     0.000
1060.92     11.910     0.000
1076.35     11.851     0.000
1092.00     11.791     0.000
1107.89     11.731     0.000
1124.00     11.669     0.000
1140.35     11.607     0.000
1156.94     11.545     0.000
1173.77     11.481     0.000
1190.84     11.417     0.000
1208.16     11.353     0.000
1225.73     11.289     0.000
1243.56     11.223     0.000
1261.65     11.157     0.000
1280.00     11.091     0.000
1298.62     11.023     0.000
1317.51     10.955     0.000
1336.67     10.885     0.000
1356.11     10.814     0.000
1375.84     10.741     0.000
1395.85     10.667     0.000
1416.15     10.591     0.000
1436.75     10.513     0.000
1457.65     10.432     0.000
1478.85     10.349     0.000
1500.36     10.263     0.000
1522.19     10.175     0.000
1544.33     10.084     0.000
1566.79      9.990     0.000
1589.58      9.894     0.000
1612.70      9.795     0.000
1636.16      9.694     0.000
1659.95      9.591     0.000
1684.10      9.486     0.000
1708.60      9.379     0.000
1733.45      9.272     0.000
1758.66      9.164     0.000
1784.24      9.055     0.000
1810.19      8.945     0.000
1836.52      8.836     0.000
1863.24      8.726     0.000
1890.34      8.617     0.000
1917.83      8.506     0.000
1945.73      8.395     0.000
1974.03      8.282     0.000
2002.74      8.168     0.000
2031.87      8.050     0.000
2061.43      7.930     0.000
2091.41      7.806     0.000
2121.83      7.677     0.000
2152.69      7.544     0.000
2184.01      7.407     0.000
2215.77      7.265     0.000
2248.00      7.119     0.000
2280.70      6.969     0.000
2313.87      6.816     0.000
2347.53      6.661     0.000
2381.68      6.504     0.000
2416.32      6.347     0.000
2451.46      6.189     0.000
2487.12      6.031     0.000
2523.30      5.875     0.000
2560.00      5.719     0.000
2597.24      5.565     0.000
2635.01      5.413     0.000
2673.34      5.263     0.000
2712.23      5.115     0.000
2751.68      4.970     0.000
2791.70      4.829     0.000
2832.31      4.696     0.000
2873.50      4.568     0.000
2915.30      4.441     0.000
2957.70      4.318     0.000
3000.72      4.197     0.000
3044.37      4.079     0.000
3088.65      3.965     0.000
3133.58      3.854     0.000
3179.16      3.746     0.000
3225.40      3.642     0.000
3272.31      3.541     0.000
3319.91      3.443     0.000
3368.20      3.347     0.000
3417.19      3.254     0.000
3466.89      3.162     0.000
3517.32      3.070     0.000
3568.48      2.978     0.000
3620.39      2.884     0.000
3673.05      2.787     0.000
3726.47      2.687     0.000
3780.67      2.583     0.000
3835.67      2.477     0.000
3891.46      2.368     0.000
3948.06      2.258     0.000
4005.49      2.146     0.000
4063.75      2.034     0.000
4122.86      1.921     0.000
4182.82      1.805     0.000
4243.66      1.687     0.000
4305.39      1.566     0.000
4368.01      1.440     0.000
4431.55      1.310     0.000
4496.01      1.174     0.000
4561.40      1.032     0.000
4627.75      0.884     0.000
4695.06      0.732     0.000
4763.35      0.578     0.000
4832.64      0.425     0.000
4902.93      0.275     0.000
4974.24      0.129     0.000
5046.60     -0.012     0.000
5120.00     -0.148     0.000
5194.47     -0.276     0.000
5270.03     -0.399     0.000
5346.68     -0.518     0.000
5424.45     -0.631     0.000
5503.35     -0.738     0.000
5583.40     -0.839     0.000
5664.61     -0.938     0.000
5747.01     -1.036     0.000
5830.60     -1.138     0.000
5915.41     -1.245     0.000
6001.45     -1.354     0.000
6088.74     -1.462     0.000
6177.30     -1.569     0.000
6267.15     -1.677     0.000
6358.31     -1.786     0.000
6450.80     -1.898     0.000
6544.62     -2.014     0.000
6639.82     -2.137     0.000
6736.40     -2.269     0.000
6834.38     -2.413     0.000
6933.79     -2.561     0.000
7034.64     -2.711     0.000
7136.96     -2.857     0.000
7240.77     -3.000     0.000
7346.09     -3.139     0.000
7452.94     -3.271     0.000
7561.35     -3.394     0.000
7671.33     -3.509     0.000
7782.91     -3.617     0.000
7896.12     -3.722     0.000
8010.97     -3.825     0.000
8127.49     -3.925     0.000
8245.71     -4.026     0.000
8365.65     -4.133     0.000
8487.33     -4.246     0.000
8610.78     -4.358     0.000
8736.03     -4.470     0.000
8863.09     -4.589     0.000
8992.01     -4.720     0.000
9122.80     -4.856     0.000
9255.50     -4.996     0.000
9390.12     -5.139     0.000
9526.70     -5.284     0.000
9665.27     -5.421     0.000
9805.86     -5.547     0.000
9948.49     -5.663     0.000
10093.2     -5.770     0.000
10240.0     -5.877     0.000
10388.9     -5.978     0.000
10540.1     -6.074     0.000
10693.4     -6.180     0.000
10848.9     -6.297     0.000
11006.7     -6.406     0.000
11166.8     -6.517     0.000
11329.2     -6.649     0.000
11494.0     -6.793     0.000
11661.2     -6.934     0.000
11830.8     -7.075     0.000
12002.9     -7.207     0.000
12177.5     -7.329     0.000
12354.6     -7.439     0.000
12534.3     -7.542     0.000
12716.6     -7.639     0.000
12901.6     -7.736     0.000
13089.2     -7.848     0.000
13279.6     -7.961     0.000
13472.8     -8.080     0.000
13668.8     -8.217     0.000
13867.6     -8.351     0.000
14069.3     -8.486     0.000
14273.9     -8.620     0.000
14481.5     -8.739     0.000
14692.2     -8.850     0.000
14905.9     -8.956     0.000
15122.7     -9.056     0.000
15342.7     -9.155     0.000
15565.8     -9.263     0.000
15792.2     -9.393     0.000
16021.9     -9.523     0.000
16255.0     -9.657     0.000
16491.4     -9.793     0.000
16731.3     -9.916     0.000
16974.7    -10.027     0.000
17221.6    -10.124     0.000
17472.1    -10.226     0.000
17726.2    -10.337     0.000
17984.0    -10.459     0.000
18245.6    -10.584     0.000
18511.0    -10.719     0.000
18780.2    -10.856     0.000
19053.4    -10.979     0.000
19330.5    -11.092     0.000
19611.7    -11.193     0.000
19897.0    -11.303     0.000
20186.4    -11.415     0.000
20480.0    -11.552     0.000
20777.9    -11.687     0.000
21080.1    -11.829     0.000
21386.7    -11.957     0.000
21697.8    -12.074     0.000
22013.4    -12.189     0.000
22333.6    -12.311     0.000
22658.4    -12.434     0.000
22988.0    -12.597     0.000
23322.4    -12.757     0.000
23661.6    -12.907     0.000
24005.8    -13.048     0.000
24355.0    -13.195     0.000
24709.2    -13.349     0.000
25068.6    -13.535     0.000
25433.2    -13.745     0.000
25803.2    -13.958     0.000
26178.5    -14.163     0.000
26559.3    -14.371     0.000
26945.6    -14.591     0.000
27337.5    -14.820     0.000
27735.2    -15.057     0.000
28138.6    -15.257     0.000
28547.9    -15.392     0.000
28963.1    -15.461     0.000
29384.4    -15.495     0.000
29811.8    -15.502     0.000
